customer_id,customer_type,risk_level,investment_horizon,account_open_date,portfolio_value,cash_balance
CUS000040,INDIVIDUAL,LOW,MEDIUM,2022-10-13,12546000,279177691
CUS000041,INDIVIDUAL,HIGH,MEDIUM,2014-04-17,198400000,71708318
CUS000042,INDIVIDUAL,HIGH,SHORT,2020-06-18,72070000,23283925
CUS000043,INDIVIDUAL,MEDIUM,LONG,2021-04-19,382754000,231767197
CUS000044,INDIVIDUAL,MEDIUM,SHORT,2018-02-07,101615000,17913717
CUS000045,INDIVIDUAL,MEDIUM,SHORT,2014-05-20,76636000,142246453
CUS000046,INDIVIDUAL,LOW,LONG,2014-12-02,1023190000,153004297
CUS000047,INDIVIDUAL,LOW,MEDIUM,2019-03-21,46114000,37746974
CUS000048,INDIVIDUAL,LOW,SHORT,2019-08-01,1313283000,197922470
CUS000049,INDIVIDUAL,MEDIUM,MEDIUM,2019-06-26,119352000,355914141
CUS000050,INDIVIDUAL,MEDIUM,SHORT,2022-01-18,22032000,57721473
CUS000051,INDIVIDUAL,LOW,LONG,2017-06-13,104600000,801092247
CUS000052,INDIVIDUAL,MEDIUM,MEDIUM,2021-08-24,465959000,1029309334
CUS000053,INDIVIDUAL,MEDIUM,SHORT,2019-12-17,20300000,13612908
CUS000054,INDIVIDUAL,MEDIUM,SHORT,2018-03-15,77659000,56700496
CUS000055,INDIVIDUAL,HIGH,SHORT,2021-07-27,109656000,106540219
CUS000056,INDIVIDUAL,HIGH,SHORT,2022-10-06,77119000,20179218
CUS000057,INDIVIDUAL,HIGH,SHORT,2021-06-24,99923000,86721887
CUS000058,INDIVIDUAL,LOW,SHORT,2022-07-21,867089000,850203231
CUS000059,INDIVIDUAL,MEDIUM,LONG,2021-11-19,21648000,63476740
CUS000060,INDIVIDUAL,HIGH,SHORT,2016-11-02,245468000,48219849
CUS000061,INDIVIDUAL,MEDIUM,MEDIUM,2018-05-08,63841000,248169601
CUS000062,INDIVIDUAL,LOW,LONG,2020-06-22,143061000,104621569
CUS000063,INDIVIDUAL,MEDIUM,SHORT,2022-09-29,784852000,148930368
CUS000064,INDIVIDUAL,LOW,LONG,2017-11-26,227560000,69569503
CUS000065,INDIVIDUAL,MEDIUM,LONG,2020-11-18,219979000,97440217
CUS000066,INDIVIDUAL,LOW,SHORT,2022-03-09,19596000,44184383
CUS000067,INDIVIDUAL,MEDIUM,MEDIUM,2022-05-20,189227000,90578962
CUS000068,INDIVIDUAL,MEDIUM,LONG,2014-11-11,97232000,371646950
CUS000069,INDIVIDUAL,LOW,MEDIUM,2022-06-28,181587000,197176930
CUS000070,INDIVIDUAL,LOW,MEDIUM,2016-08-19,457078000,130195743
CUS000071,INDIVIDUAL,MEDIUM,MEDIUM,2016-08-30,32592000,54336271
CUS000072,INDIVIDUAL,LOW,MEDIUM,2021-05-10,531774000,345536135
CUS000073,INDIVIDUAL,HIGH,SHORT,2019-07-12,340922000,999446101
CUS000074,INSTITUTION,HIGH,LONG,2014-01-17,3059652000,281297721
CUS000075,INSTITUTION,LOW,SHORT,2019-07-12,25927859000,1234427175
CUS000076,INDIVIDUAL,MEDIUM,LONG,2020-12-04,65984000,18033161
CUS000077,INSTITUTION,LOW,LONG,2022-10-28,5618012000,6045667246
CUS000078,INDIVIDUAL,MEDIUM,MEDIUM,2014-04-02,70209000,266478529
CUS000079,INSTITUTION,LOW,MEDIUM,2022-10-12,6706833000,4565930504
CUS000080,INDIVIDUAL,HIGH,SHORT,2016-11-23,1103872000,1269530724
CUS000081,INDIVIDUAL,LOW,SHORT,2021-08-31,1072515000,817529131
CUS000082,INDIVIDUAL,MEDIUM,MEDIUM,2018-06-28,424232000,587787605
CUS000083,INDIVIDUAL,MEDIUM,MEDIUM,2022-03-04,137601000,136375198
CUS000084,INDIVIDUAL,MEDIUM,SHORT,2015-01-14,436845000,36660096
CUS000085,INSTITUTION,LOW,MEDIUM,2021-03-24,5782089000,1457649838
CUS000086,INDIVIDUAL,MEDIUM,SHORT,2020-08-04,72123000,37264532
CUS000087,INDIVIDUAL,MEDIUM,MEDIUM,2016-12-05,114246000,16819004
CUS000088,INDIVIDUAL,HIGH,MEDIUM,2020-04-03,1171694000,411542975
CUS000089,INDIVIDUAL,HIGH,MEDIUM,2014-01-27,83774000,15985291
CUS000090,INDIVIDUAL,HIGH,SHORT,2020-08-12,139051000,40870757
CUS000091,INDIVIDUAL,MEDIUM,LONG,2016-06-09,30803000,122638773
CUS000092,INDIVIDUAL,LOW,SHORT,2014-09-22,15387000,26386005
CUS000093,INDIVIDUAL,HIGH,SHORT,2019-08-05,190464000,93553138
CUS000094,INDIVIDUAL,HIGH,SHORT,2022-10-07,7506000,8285181
CUS000095,INDIVIDUAL,MEDIUM,SHORT,2018-05-24,13360000,133343068
CUS000096,INDIVIDUAL,LOW,SHORT,2021-02-08,34049000,47900328
CUS000097,INDIVIDUAL,HIGH,MEDIUM,2020-10-05,416548000,210666524
CUS000098,INDIVIDUAL,HIGH,SHORT,2022-06-17,782266000,306684991
CUS000099,INDIVIDUAL,MEDIUM,SHORT,2021-01-27,1359979000,88788907
CUS000100,INDIVIDUAL,HIGH,SHORT,2014-10-20,64928000,77627506
CUS000101,INDIVIDUAL,MEDIUM,MEDIUM,2020-09-15,196259000,23997253
CUS000102,INDIVIDUAL,MEDIUM,SHORT,2020-08-24,59802000,238800662
CUS000103,INDIVIDUAL,MEDIUM,LONG,2014-05-04,172831000,12649764
CUS000104,INDIVIDUAL,HIGH,LONG,2020-05-15,294163000,144979620
CUS000105,INDIVIDUAL,HIGH,MEDIUM,2019-12-31,23010000,22250205
CUS000106,INDIVIDUAL,HIGH,MEDIUM,2021-03-15,7130000,30647090
CUS000107,INDIVIDUAL,MEDIUM,LONG,2021-11-24,44264000,10020580
CUS000108,INDIVIDUAL,LOW,LONG,2022-06-15,179882000,50331175
CUS000109,INDIVIDUAL,MEDIUM,LONG,2020-07-06,6956000,76403921
CUS000110,INDIVIDUAL,HIGH,SHORT,2019-08-27,1857537000,1248967509
CUS000111,INSTITUTION,MEDIUM,MEDIUM,2017-06-21,24028393000,2772307236
CUS000112,INDIVIDUAL,MEDIUM,MEDIUM,2022-07-14,9982000,51503629
CUS000113,INDIVIDUAL,HIGH,LONG,2022-09-06,550165000,940920753
CUS000114,INDIVIDUAL,HIGH,SHORT,2020-01-16,497327000,49723893
CUS000115,INDIVIDUAL,MEDIUM,MEDIUM,2021-09-08,615345000,69689851
CUS000116,INDIVIDUAL,MEDIUM,SHORT,2015-08-23,0,79931953
CUS000117,INDIVIDUAL,HIGH,SHORT,2022-05-24,56344000,39115853
CUS000118,INDIVIDUAL,HIGH,LONG,2014-05-22,1160831000,1966149315
CUS000119,INDIVIDUAL,HIGH,MEDIUM,2016-02-05,382005000,694986749
CUS000120,INDIVIDUAL,MEDIUM,LONG,2018-01-14,93795000,162923184
CUS000121,INDIVIDUAL,LOW,LONG,2022-08-23,21544000,20594604
CUS000122,INDIVIDUAL,MEDIUM,SHORT,2021-09-15,57309000,223528857
CUS000123,INDIVIDUAL,MEDIUM,SHORT,2020-05-07,2396393000,748153434
CUS000124,INDIVIDUAL,MEDIUM,MEDIUM,2022-01-10,47097000,23553548
CUS000125,INDIVIDUAL,LOW,MEDIUM,2014-03-21,53314000,30885404
CUS000126,INDIVIDUAL,LOW,LONG,2019-06-24,263002000,198970226
CUS000127,INDIVIDUAL,MEDIUM,MEDIUM,2016-05-28,385096000,88343070
CUS000128,INDIVIDUAL,MEDIUM,SHORT,2019-08-19,39564000,227947105
CUS000129,INDIVIDUAL,HIGH,SHORT,2021-08-17,20810000,15031979
CUS000130,INDIVIDUAL,MEDIUM,SHORT,2019-10-07,77684000,56507866
CUS000131,INDIVIDUAL,LOW,MEDIUM,2014-12-17,454033000,140087138
CUS000132,INDIVIDUAL,LOW,MEDIUM,2019-08-20,84333000,174618670
CUS000133,INDIVIDUAL,MEDIUM,SHORT,2015-03-13,124609000,26018532
CUS000134,INDIVIDUAL,MEDIUM,LONG,2022-10-26,0,200396496
CUS000135,INDIVIDUAL,HIGH,MEDIUM,2021-09-23,80334000,10397232
CUS000136,INDIVIDUAL,HIGH,MEDIUM,2021-04-27,101521000,156516619
CUS000137,INDIVIDUAL,MEDIUM,LONG,2022-10-10,132091000,46883904
CUS000138,INDIVIDUAL,MEDIUM,SHORT,2021-02-04,4250280000,3252929229
CUS000139,INDIVIDUAL,MEDIUM,MEDIUM,2022-05-10,221919000,288387311
CUS000140,INDIVIDUAL,MEDIUM,MEDIUM,2019-03-01,212264000,40976834
CUS000141,INDIVIDUAL,LOW,LONG,2021-06-15,13397000,87236091
CUS000142,INDIVIDUAL,HIGH,MEDIUM,2016-09-05,1052619000,1049297550
CUS000143,INDIVIDUAL,MEDIUM,MEDIUM,2020-05-13,180511000,77151662
CUS000144,INDIVIDUAL,HIGH,SHORT,2021-06-01,158124000,76099403
CUS000145,INDIVIDUAL,MEDIUM,MEDIUM,2022-10-11,15750000,123952220
CUS000146,INDIVIDUAL,HIGH,SHORT,2020-06-30,64086000,15727754
CUS000147,INDIVIDUAL,MEDIUM,MEDIUM,2020-12-31,36377000,35394017
CUS000148,INDIVIDUAL,HIGH,SHORT,2021-06-25,39374000,49874201
CUS000149,INDIVIDUAL,MEDIUM,MEDIUM,2016-01-18,661168000,468543044
CUS000150,INDIVIDUAL,MEDIUM,LONG,2019-11-29,1394827000,526775907
CUS000151,INDIVIDUAL,HIGH,SHORT,2019-03-13,124782000,1411740726
CUS000152,INDIVIDUAL,HIGH,SHORT,2014-12-02,44227000,29575057
CUS000153,INDIVIDUAL,MEDIUM,MEDIUM,2016-04-05,2601000,32443017
CUS000154,INDIVIDUAL,HIGH,SHORT,2022-08-01,391301000,158087693
CUS000155,INSTITUTION,MEDIUM,MEDIUM,2022-08-24,9724269000,410283013
CUS000156,INDIVIDUAL,MEDIUM,LONG,2020-10-15,43437000,163081283
CUS000157,INDIVIDUAL,MEDIUM,MEDIUM,2020-10-06,39061000,40839064
CUS000158,INDIVIDUAL,MEDIUM,MEDIUM,2022-01-10,13658000,10154960
CUS000159,INDIVIDUAL,HIGH,SHORT,2020-08-21,1044512000,69839376
CUS000160,INDIVIDUAL,MEDIUM,MEDIUM,2019-03-08,38337000,42142058
CUS000161,INDIVIDUAL,MEDIUM,SHORT,2017-06-04,122223000,44696853
CUS000162,INDIVIDUAL,MEDIUM,MEDIUM,2020-10-30,319484000,153520078
CUS000163,INDIVIDUAL,MEDIUM,LONG,2020-11-18,101045000,5216477
CUS000164,INDIVIDUAL,MEDIUM,MEDIUM,2020-12-24,22829000,118007707
CUS000165,INDIVIDUAL,LOW,LONG,2020-08-11,46770000,25477623
CUS000166,INDIVIDUAL,MEDIUM,MEDIUM,2016-03-13,36282000,124553458
CUS000167,INDIVIDUAL,LOW,MEDIUM,2020-08-12,78385000,281027378
CUS000168,INDIVIDUAL,MEDIUM,LONG,2021-03-04,101337000,99290587
CUS000169,INDIVIDUAL,MEDIUM,LONG,2022-05-24,30383000,30891162
CUS000170,INDIVIDUAL,MEDIUM,MEDIUM,2015-10-20,443999000,546895347
CUS000171,INDIVIDUAL,HIGH,MEDIUM,2020-09-11,16675000,125107075
CUS000172,INSTITUTION,HIGH,MEDIUM,2016-11-20,6183706000,2815973317
CUS000173,INDIVIDUAL,HIGH,SHORT,2021-09-30,1793804000,652623381
CUS000174,INDIVIDUAL,HIGH,SHORT,2022-04-27,145712000,181622536
CUS000175,INDIVIDUAL,HIGH,SHORT,2018-06-13,205308000,5680465
CUS000176,INDIVIDUAL,MEDIUM,LONG,2015-10-30,4848000,37130061
CUS000177,INDIVIDUAL,HIGH,MEDIUM,2022-10-06,69456000,15104874
CUS000178,INDIVIDUAL,HIGH,SHORT,2019-11-05,563053000,471027334
CUS000179,INDIVIDUAL,MEDIUM,LONG,2019-11-04,7908000,22896900
CUS000180,INDIVIDUAL,LOW,SHORT,2019-09-26,37527000,162231671
CUS000181,INDIVIDUAL,HIGH,SHORT,2020-06-01,38841000,97881950
CUS000182,INDIVIDUAL,HIGH,SHORT,2020-12-15,386984000,226722255
CUS000183,INDIVIDUAL,MEDIUM,MEDIUM,2019-05-09,1164364000,181711964
CUS000184,INDIVIDUAL,MEDIUM,MEDIUM,2020-08-31,8070000,126317927
CUS000185,INDIVIDUAL,MEDIUM,SHORT,2020-04-23,76658000,31630756
CUS000186,INDIVIDUAL,LOW,MEDIUM,2019-03-13,68681000,397795051
CUS000187,INDIVIDUAL,MEDIUM,MEDIUM,2021-05-21,82695000,86730185
CUS000188,INDIVIDUAL,MEDIUM,MEDIUM,2014-06-28,149113000,83043946
CUS000189,INDIVIDUAL,HIGH,MEDIUM,2020-12-15,153498000,22696067
CUS000190,INDIVIDUAL,MEDIUM,MEDIUM,2021-10-20,84986000,80532035
CUS000191,INDIVIDUAL,HIGH,SHORT,2022-06-17,104838000,83494472
CUS000192,INDIVIDUAL,MEDIUM,SHORT,2021-09-23,8633000,23059697
CUS000193,INDIVIDUAL,HIGH,SHORT,2021-07-19,76230000,72105621
CUS000194,INDIVIDUAL,LOW,LONG,2020-03-13,14932000,142238301
CUS000195,INSTITUTION,LOW,MEDIUM,2021-08-03,8789581000,270495723
CUS000196,INDIVIDUAL,HIGH,SHORT,2016-05-01,71674000,75302405
CUS000197,INDIVIDUAL,MEDIUM,LONG,2020-01-20,61100000,25549879
CUS000198,INDIVIDUAL,HIGH,MEDIUM,2015-11-26,126334000,145911992
CUS000199,INSTITUTION,LOW,LONG,2021-10-22,4185874000,15135334960
CUS000200,INSTITUTION,MEDIUM,MEDIUM,2020-05-22,41747146000,4856979666
CUS000201,INDIVIDUAL,MEDIUM,MEDIUM,2014-06-06,114137000,223164591
CUS000202,INDIVIDUAL,MEDIUM,SHORT,2022-03-31,78752000,21063030
CUS000203,INDIVIDUAL,MEDIUM,LONG,2019-01-11,212577000,41995813
CUS000204,INDIVIDUAL,LOW,LONG,2019-05-22,191561000,117437133
CUS000205,INDIVIDUAL,LOW,MEDIUM,2022-07-27,14316000,46075979
CUS000206,INDIVIDUAL,LOW,LONG,2020-06-09,118946000,494548703
CUS000207,INDIVIDUAL,MEDIUM,MEDIUM,2016-04-21,1880094000,7210371249
CUS000208,INDIVIDUAL,LOW,SHORT,2021-07-07,294963000,234395979
CUS000209,INDIVIDUAL,LOW,SHORT,2021-04-13,206904000,81295984
CUS000210,INDIVIDUAL,MEDIUM,LONG,2018-11-15,301903000,188831683
CUS000211,INDIVIDUAL,LOW,MEDIUM,2022-08-31,32526000,164183030
CUS000212,INDIVIDUAL,MEDIUM,SHORT,2021-08-16,5144000,21550873
CUS000213,INDIVIDUAL,MEDIUM,SHORT,2018-11-05,355511000,198062307
CUS000214,INDIVIDUAL,MEDIUM,MEDIUM,2018-11-05,9392000,18620750
CUS000215,INDIVIDUAL,MEDIUM,LONG,2019-11-14,79501000,115979132
CUS000216,INDIVIDUAL,MEDIUM,LONG,2022-08-08,2198346000,2519129516
CUS000217,INDIVIDUAL,HIGH,MEDIUM,2021-07-01,44430000,15434178
CUS000218,INDIVIDUAL,LOW,MEDIUM,2017-05-10,45912000,345597370
CUS000219,INDIVIDUAL,MEDIUM,MEDIUM,2021-11-15,84639000,26867824
CUS000220,INDIVIDUAL,HIGH,MEDIUM,2014-04-22,46431000,44939105
CUS000221,INDIVIDUAL,HIGH,SHORT,2021-01-29,40456000,32155491
CUS000222,INDIVIDUAL,HIGH,MEDIUM,2020-07-01,71292000,22493533
CUS000223,INDIVIDUAL,HIGH,MEDIUM,2016-03-29,321873000,186326875
CUS000224,INDIVIDUAL,HIGH,SHORT,2020-09-18,336643000,137351425
CUS000225,INDIVIDUAL,MEDIUM,SHORT,2016-04-30,953108000,854557766
CUS000226,INDIVIDUAL,MEDIUM,LONG,2017-01-12,677885000,654713105
CUS000227,INDIVIDUAL,MEDIUM,SHORT,2019-06-05,8949000,101115363
CUS000228,INDIVIDUAL,HIGH,MEDIUM,2019-10-11,51516000,36664103
CUS000229,INDIVIDUAL,MEDIUM,MEDIUM,2019-10-03,654573000,110075376
CUS000230,INDIVIDUAL,HIGH,SHORT,2022-05-13,69527000,8054728
CUS000231,INDIVIDUAL,MEDIUM,LONG,2016-10-13,130254000,353797593
CUS000232,INDIVIDUAL,MEDIUM,SHORT,2022-01-05,10626000,22915730
CUS000233,INDIVIDUAL,HIGH,SHORT,2020-12-28,282940000,262521843
CUS000234,INDIVIDUAL,HIGH,SHORT,2021-09-27,396313000,414871515
CUS000235,INDIVIDUAL,HIGH,MEDIUM,2021-01-14,45773000,54028449
CUS000236,INDIVIDUAL,MEDIUM,MEDIUM,2021-07-22,118129000,6404787
CUS000237,INDIVIDUAL,MEDIUM,SHORT,2022-08-26,57057000,20903637
CUS000238,INDIVIDUAL,MEDIUM,MEDIUM,2021-07-27,1231000,20531380
CUS000239,INDIVIDUAL,LOW,LONG,2017-11-02,202015000,375869347
CUS000240,INDIVIDUAL,MEDIUM,MEDIUM,2015-05-02,1495931000,986228328
CUS000241,INDIVIDUAL,MEDIUM,MEDIUM,2015-04-04,54634000,21161577
CUS000242,INDIVIDUAL,MEDIUM,MEDIUM,2015-08-22,298975000,34201459
CUS000243,INDIVIDUAL,HIGH,MEDIUM,2020-09-04,48194000,14481180
CUS000244,INDIVIDUAL,MEDIUM,SHORT,2020-07-29,22918000,85110891
CUS000245,INSTITUTION,LOW,LONG,2017-11-27,4657654000,537878527
CUS000246,INDIVIDUAL,MEDIUM,MEDIUM,2020-12-14,57014000,368294623
CUS000247,INDIVIDUAL,HIGH,SHORT,2015-09-08,35088000,75837781
CUS000248,INDIVIDUAL,HIGH,SHORT,2018-01-06,248339000,36153218
CUS000249,INDIVIDUAL,MEDIUM,LONG,2017-12-20,631535000,406628006
CUS000250,INDIVIDUAL,MEDIUM,LONG,2022-11-07,65412000,183652482
CUS000251,INDIVIDUAL,HIGH,SHORT,2021-05-26,29378000,22084570
CUS000252,INDIVIDUAL,HIGH,MEDIUM,2020-06-16,89972000,158684847
CUS000253,INSTITUTION,HIGH,SHORT,2018-11-18,19794296000,1972206793
CUS000254,INDIVIDUAL,HIGH,MEDIUM,2017-07-06,210117000,373489676
CUS000255,INDIVIDUAL,MEDIUM,SHORT,2020-08-03,261929000,328219536
CUS000256,INDIVIDUAL,MEDIUM,LONG,2015-08-04,326811000,66579036
CUS000257,INDIVIDUAL,MEDIUM,LONG,2019-03-01,40931000,71029683
CUS000258,INDIVIDUAL,MEDIUM,SHORT,2022-10-19,63048000,43592353
CUS000259,INDIVIDUAL,MEDIUM,LONG,2021-05-24,8999000,78353053
CUS000260,INDIVIDUAL,HIGH,SHORT,2021-04-05,79216000,51905911
CUS000261,INDIVIDUAL,LOW,MEDIUM,2018-03-04,212810000,55733112
CUS000262,INDIVIDUAL,MEDIUM,LONG,2020-08-18,246472000,56968605
CUS000263,INDIVIDUAL,MEDIUM,LONG,2017-11-09,17764000,16672475
CUS000264,INDIVIDUAL,LOW,LONG,2021-02-17,701919000,435620882
CUS000265,INDIVIDUAL,MEDIUM,MEDIUM,2019-08-26,55740000,32598906
CUS000266,INDIVIDUAL,LOW,LONG,2014-02-18,126628000,121890858
CUS000267,INDIVIDUAL,MEDIUM,SHORT,2020-12-04,178098000,53741229
CUS000268,INDIVIDUAL,MEDIUM,SHORT,2019-09-05,335163000,234350268
CUS000269,INDIVIDUAL,MEDIUM,MEDIUM,2014-03-31,102516000,19827242
CUS000270,INDIVIDUAL,MEDIUM,LONG,2015-03-19,334378000,15132025
CUS000271,INDIVIDUAL,HIGH,SHORT,2022-11-18,38278000,50593585
CUS000272,INDIVIDUAL,HIGH,SHORT,2022-10-31,857052000,298800972
CUS000273,INDIVIDUAL,LOW,MEDIUM,2021-05-13,143091000,137290738
CUS000274,INDIVIDUAL,MEDIUM,SHORT,2016-02-05,10254000,9027189
CUS000275,INDIVIDUAL,LOW,MEDIUM,2021-01-05,453121000,20353011
CUS000276,INDIVIDUAL,MEDIUM,MEDIUM,2020-08-19,13398000,20330798
CUS000277,INDIVIDUAL,HIGH,SHORT,2019-05-31,1263973000,469502156
CUS000278,INSTITUTION,MEDIUM,MEDIUM,2022-10-19,7621039000,629035859
CUS000279,INDIVIDUAL,MEDIUM,SHORT,2014-11-25,1654806000,90320265
CUS000280,INDIVIDUAL,LOW,MEDIUM,2020-08-12,500755000,202465719
CUS000281,INDIVIDUAL,MEDIUM,MEDIUM,2021-07-30,50192000,239684165
CUS000282,INDIVIDUAL,LOW,LONG,2022-09-14,50267000,31061665
CUS000283,INDIVIDUAL,HIGH,SHORT,2021-12-17,0,54137683
CUS000284,INDIVIDUAL,MEDIUM,SHORT,2022-03-10,23967000,2844372
CUS000285,INDIVIDUAL,MEDIUM,MEDIUM,2020-06-08,65793000,7947722
CUS000286,INDIVIDUAL,MEDIUM,MEDIUM,2019-07-30,1164912000,1149632222
CUS000287,INDIVIDUAL,LOW,LONG,2022-10-28,5154000,30233312
CUS000288,INDIVIDUAL,HIGH,MEDIUM,2019-12-05,68882000,72246180
CUS000289,INDIVIDUAL,MEDIUM,SHORT,2020-10-28,29168000,14332012
CUS000290,INDIVIDUAL,HIGH,SHORT,2021-11-08,21368000,14589568
CUS000291,INDIVIDUAL,MEDIUM,SHORT,2020-06-05,176196000,67767556
CUS000292,INDIVIDUAL,MEDIUM,MEDIUM,2020-10-23,307071000,250217094
CUS000293,INDIVIDUAL,LOW,MEDIUM,2021-09-15,137388000,58900469
CUS000294,INDIVIDUAL,MEDIUM,LONG,2022-10-07,73503000,114883657
CUS000295,INDIVIDUAL,MEDIUM,SHORT,2022-03-21,27006000,34628187
CUS000296,INDIVIDUAL,LOW,LONG,2018-09-05,421354000,214923940
CUS000297,INDIVIDUAL,HIGH,SHORT,2019-06-24,115902000,60792963
CUS000298,INDIVIDUAL,MEDIUM,LONG,2021-01-04,39528000,97477982
CUS000299,INDIVIDUAL,MEDIUM,MEDIUM,2014-12-10,38006000,32125344
CUS000300,INDIVIDUAL,MEDIUM,SHORT,2019-03-07,60818000,129413066
CUS000301,INDIVIDUAL,MEDIUM,MEDIUM,2016-07-26,197583000,180940430
CUS000302,INDIVIDUAL,LOW,MEDIUM,2021-12-17,235715000,136247049
CUS000303,INDIVIDUAL,LOW,MEDIUM,2022-03-15,29307000,25590607
CUS000304,INDIVIDUAL,HIGH,SHORT,2020-11-09,176594000,100580828
CUS000305,INDIVIDUAL,LOW,LONG,2020-12-01,140924000,286802082
CUS000306,INDIVIDUAL,MEDIUM,LONG,2014-01-23,144574000,16274889
CUS000307,INDIVIDUAL,HIGH,SHORT,2014-09-05,651371000,136527868
CUS000308,INDIVIDUAL,HIGH,SHORT,2022-07-14,58949000,20568386
CUS000309,INDIVIDUAL,MEDIUM,MEDIUM,2019-06-17,3800000,37908029
CUS000310,INDIVIDUAL,MEDIUM,SHORT,2015-06-07,521057000,329444442
CUS000311,INDIVIDUAL,MEDIUM,SHORT,2014-10-03,56463000,35461290
CUS000312,INDIVIDUAL,HIGH,MEDIUM,2021-04-20,110790000,67931616
CUS000313,INDIVIDUAL,HIGH,SHORT,2019-05-22,217599000,90010802
CUS000314,INDIVIDUAL,MEDIUM,MEDIUM,2020-10-21,326737000,62789357
CUS000315,INDIVIDUAL,HIGH,LONG,2022-05-09,35683000,36098980
CUS000316,INDIVIDUAL,MEDIUM,SHORT,2021-12-02,24205000,173454158
CUS000317,INDIVIDUAL,HIGH,SHORT,2014-04-16,46085000,11361966
CUS000318,INDIVIDUAL,LOW,SHORT,2019-03-26,85129000,50359195
CUS000319,INDIVIDUAL,MEDIUM,SHORT,2021-06-25,198396000,135305997
CUS000320,INDIVIDUAL,MEDIUM,SHORT,2020-03-30,174320000,243150359
CUS000321,INDIVIDUAL,HIGH,SHORT,2018-06-15,5972000,50316353
CUS000322,INDIVIDUAL,MEDIUM,SHORT,2022-01-21,103776000,955918127
CUS000323,INDIVIDUAL,MEDIUM,MEDIUM,2016-05-20,398109000,386751736
CUS000324,INSTITUTION,LOW,LONG,2019-09-27,6625933000,10727870807
CUS000325,INDIVIDUAL,MEDIUM,MEDIUM,2018-12-11,215773000,935463961
CUS000326,INDIVIDUAL,LOW,LONG,2020-02-28,28688000,95391110
CUS000327,INDIVIDUAL,HIGH,SHORT,2021-09-09,134863000,166609291
CUS000328,INSTITUTION,LOW,SHORT,2014-03-02,18950261000,9227499232
