snapshot_date,customer_id,stock_code,quantity,avg_cost,market_value
2019-01-31,CUS000172,VTP,4400,29303.89,139304000
2019-01-31,CUS000172,DAH,33000,6223.87,204600000
2019-01-31,CUS000172,AST,3000,34752.05,106350000
2019-01-31,CUS000175,MSN,400,63555.19,25180000
2019-01-31,CUS000175,NCT,100,34101.07,3258000
2019-01-31,CUS000175,TPB,400,5958.93,2360000
2019-01-31,CUS000175,TVC,500,9163.73,4605000
2019-01-31,CUS000175,VSC,2600,7531.28,19422000
2019-01-31,CUS000175,VGI,700,14241.33,10262000
2019-01-31,CUS000176,MWG,500,25950.87,12675000
2019-01-31,CUS000188,VND,4800,2956.72,14160000
2019-01-31,CUS000198,OGC,3300,3705.55,12540000
2019-01-31,CUS000198,CII,1000,17355.99,16860000
2019-01-31,CUS000201,VPD,500,9514.25,4815000
2019-01-31,CUS000201,KOS,400,17265.86,7028000
2019-01-31,CUS000203,CRC,1000,10846.25,11900000
2019-01-31,CUS000203,NT2,2300,17866.76,42320000
2019-01-31,CUS000203,FIR,3200,8482.7,27040000
2019-01-31,CUS000207,LDG,32600,10165.23,355992000
2019-01-31,CUS000207,PPC,11200,9574.34,124320000
2019-01-31,CUS000207,TCB,93200,12168.23,1142632000
2019-01-31,CUS000213,SHI,4800,3625.43,19488000
2019-01-31,CUS000213,VCB,4500,24336.45,108675000
2019-01-31,CUS000214,NVL,100,31256.81,2937000
2019-01-31,CUS000214,FIR,400,7611.4,3380000
2019-01-31,CUS000214,PVD,100,6029.03,657000
2019-01-31,CUS000214,DIG,100,7330.98,720000
2019-01-31,CUS000214,STB,300,12068.08,3690000
2019-01-31,CUS000218,VCG,1200,12144.86,14820000
2019-01-31,CUS000218,HVH,900,11777.64,10674000
2019-01-31,CUS000218,L14,500,16594.86,8260000
2019-01-31,CUS000220,HUT,6700,3628.95,22713000
2019-01-31,CUS000220,FTM,900,15058.11,13500000
2019-01-31,CUS000220,ACB,800,5628.43,4504000
2019-01-31,CUS000223,SHB,35100,2303.45,81783000
2019-01-31,CUS000223,GAS,100,53910.75,5223000
2019-01-31,CUS000223,VCG,5700,11577.34,70395000
2019-01-31,CUS000223,POW,2600,12899.32,33774000
2019-01-31,CUS000223,VHM,1400,28352.47,39284000
2019-01-31,CUS000225,KBC,9300,9143.69,92163000
2019-01-31,CUS000225,STB,2900,11537.28,35670000
2019-01-31,CUS000225,VHM,4900,28262.33,137494000
2019-01-31,CUS000225,HBC,16100,13069.7,207368000
2019-01-31,CUS000226,VEF,700,54040.94,42875000
2019-01-31,CUS000226,PDR,15900,8162.23,131970000
2019-01-31,CUS000226,NTC,1300,42052.99,53833000
2019-01-31,CUS000226,MPC,3000,14882.29,44580000
2019-01-31,CUS000239,VGT,7500,8470.29,66150000
2019-01-31,CUS000239,VEF,200,53810.6,12250000
2019-01-31,CUS000239,VTP,3000,24596.84,94980000
2019-01-31,CUS000240,SHB,118200,2253.38,275406000
2019-01-31,CUS000240,AAA,46000,10415.6,481620000
2019-01-31,CUS000240,QNS,3400,19529.25,66674000
2019-01-31,CUS000241,CVN,700,11106.64,7525000
2019-01-31,CUS000241,VRE,100,26850.22,2739000
2019-01-31,CUS000242,SRC,1700,11156.71,18224000
2019-01-31,CUS000245,PHR,14600,12528.76,191552000
2019-01-31,CUS000245,VSC,6300,7080.6,47061000
2019-01-31,CUS000245,HII,7000,7551.31,51660000
2019-01-31,CUS000245,DPG,12100,13780.64,137093000
2019-01-31,CUS000245,MCH,400,34952.35,14624000
2019-01-31,CUS000245,SJS,31100,7631.43,250044000
2019-01-31,CUS000245,DGC,1700,8282.41,13447000
2019-01-31,CUS000245,HPG,115200,7170.74,755712000
2019-01-31,CUS000245,SRC,900,10886.31,9648000
2019-01-31,CUS000247,VC3,1600,6860.27,10688000
2019-01-31,CUS000247,TCH,400,7871.79,3312000
2019-01-31,CUS000247,PVM,200,8062.07,1460000
2019-01-31,CUS000248,MBB,12600,4140.73,58086000
2019-01-31,CUS000248,CEN,700,11797.67,7791000
2019-01-31,CUS000248,AST,1100,34701.97,38995000
2019-01-31,CUS000248,VJC,600,88702.85,56502000
2019-01-31,CUS000253,NTC,2100,36041.48,86961000
2019-01-31,CUS000253,HQC,27100,1404.92,37398000
2019-01-31,CUS000253,VCB,65900,23405.06,1591485000
2019-01-31,CUS000253,VEF,300,53904.07,18375000
2019-01-31,CUS000253,VPI,5700,19318.94,111834000
2019-01-31,CUS000253,PVS,258000,11616.54,3018600000
2019-01-31,CUS000253,PPC,25500,10615.9,283050000
2019-01-31,CUS000253,ACL,2800,14882.29,43344000
2019-01-31,CUS000253,FMC,5000,18576.22,92800000
2019-01-31,CUS000254,DRH,3700,7684.62,26344000
2019-01-31,CUS000254,STB,9800,11384.5,120540000
2019-01-31,CUS000254,BVH,600,73590.22,46494000
2019-01-31,CUS000254,ITA,22000,2923.38,59400000
2019-01-31,CUS000254,DAH,4000,6219.31,24800000
2019-01-31,CUS000256,VCS,4500,39068.51,168435000
2019-01-31,CUS000256,VEF,700,57375.93,42875000
2019-01-31,CUS000256,NTC,2000,43605.31,82820000
2019-01-31,CUS000256,QCG,6000,4837.24,27600000
2019-01-31,CUS000256,SJS,3000,7621.41,24120000
2019-01-31,CUS000256,SRC,900,10896.32,9648000
2019-01-31,CUS000263,CII,200,18878.28,3372000
2019-01-31,CUS000263,POW,200,12148.19,2598000
2019-01-31,CUS000263,PGS,100,21291.89,2122000
2019-01-31,CUS000266,TCB,8400,12259.79,102984000
2019-01-31,CUS000269,IDI,4600,5326.67,24610000
2019-01-31,CUS000270,AAA,2400,10195.27,25128000
2019-01-31,CUS000270,DCM,20200,5374.24,106656000
2019-01-31,CUS000274,HVN,200,23945.87,4760000
2019-01-31,CUS000279,VEA,12100,19248.83,272976000
2019-01-31,CUS000279,DIG,31500,7441.15,226800000
2019-01-31,CUS000279,VNM,2900,77486.05,223996000
2019-01-31,CUS000279,TCH,8100,8222.32,67068000
2019-01-31,CUS000296,CEO,16600,7591.37,124168000
2019-01-31,CUS000296,BVH,2500,76724.91,193725000
2019-01-31,CUS000296,PGS,4300,21602.35,91246000
2019-01-31,CUS000296,MBB,18200,4436.65,83902000
2019-01-31,CUS000296,NDN,4300,5548.31,24338000
2019-01-31,CUS000296,CIA,2600,11777.64,30160000
2019-01-31,CUS000299,DBD,200,17971.92,3536000
2019-01-31,CUS000301,ART,26900,2343.51,59180000
2019-01-31,CUS000301,CTG,3100,8582.85,27559000
2019-01-31,CUS000301,MSN,100,65468.06,6295000
2019-01-31,CUS000301,ITA,5900,2774.16,15930000
2019-01-31,CUS000306,TDG,1200,2383.57,2532000
2019-01-31,CUS000306,CMX,1900,9778.33,18829000
2019-01-31,CUS000307,ACV,2100,52885.21,105924000
2019-01-31,CUS000307,DGW,18500,4426.63,81585000
2019-01-31,CUS000307,SRC,2200,11016.5,23584000
2019-01-31,CUS000307,VPB,10400,6499.73,67288000
2019-01-31,CUS000310,FIR,1400,8452.66,11830000
2019-01-31,CUS000317,PVD,800,6193.03,5256000
2019-01-31,CUS000317,VGI,1600,14237.57,23456000
2019-01-31,CUS000321,AAA,200,10385.56,2094000
2019-01-31,CUS000321,DHG,100,54621.81,5523000
2019-01-31,CUS000321,STK,300,6332.82,1962000
2019-01-31,CUS000321,DTD,1000,3983.97,3950000
2019-01-31,CUS000321,PVS,200,11887.81,2340000
2019-01-31,CUS000323,VPB,5900,6319.47,38173000
2019-01-31,CUS000323,KOS,1800,17486.19,31626000
2019-01-31,CUS000323,PHR,6000,13289.91,78720000
2019-01-31,CUS000325,VC3,2300,7000.48,15364000
2019-01-31,CUS000325,APC,1000,35162.67,32000000
2019-01-31,CUS000325,MSN,800,65728.45,50360000
2019-01-31,CUS000325,VNM,700,77115.5,54068000
2019-01-31,CUS000325,GMD,2600,16745.08,43576000
2019-01-31,CUS000325,CMG,2200,10505.74,22396000
2019-01-31,CUS000328,HVN,76400,21361.99,1818320000
2019-01-31,CUS000328,DHG,5100,53119.56,281673000
2019-01-31,CUS000328,STK,1500,6329.48,9810000
2019-01-31,CUS000328,HDG,7400,8662.98,64232000
2019-01-31,CUS000336,VGI,4700,13085.29,68902000
2019-01-31,CUS000338,HDB,6200,5958.93,37448000
2019-01-31,CUS000338,SRC,1200,10165.23,12864000
2019-01-31,CUS000338,FPT,200,12098.12,2450000
2019-01-31,CUS000338,ART,4300,2383.57,9460000
2019-01-31,CUS000339,CTG,1800,8577.85,16002000
2019-01-31,CUS000339,ASM,1900,3825.73,7714000
2019-01-31,CUS000343,DXG,1600,10776.14,17312000
2019-01-31,CUS000346,FPT,10300,11907.83,126175000
2019-01-31,CUS000346,SRC,11700,11096.62,125424000
2019-01-31,CUS000346,DAG,9800,6369.54,64778000
2019-01-31,CUS000346,VTP,1500,29744.55,47490000
2019-01-31,CUS000346,SJS,4000,8112.15,32160000
2019-01-31,CUS000353,SBA,1300,7938.04,10452000
2019-01-31,CUS000353,VEA,2200,19807.85,49632000
2019-01-31,CUS000353,BSR,18300,7214.74,135420000
2019-01-31,CUS000353,DAG,2300,6760.13,15203000
2019-01-31,CUS000353,VJC,400,90755.93,37668000
2019-01-31,CUS000353,ACL,3000,14909.33,46440000
2019-01-31,CUS000353,AAA,500,10355.51,5235000
2019-01-31,CUS000354,TTH,13200,3615.42,48048000
2019-01-31,CUS000354,DAG,7600,6690.02,50236000
2019-01-31,CUS000356,HBC,1700,13420.1,21896000
2019-01-31,CUS000356,CTD,100,82022.85,8205000
2019-01-31,CUS000359,TCH,1000,8342.5,8280000
2019-01-31,CUS000360,VIC,500,43995.89,23085000
2019-01-31,CUS000362,MBG,1500,3476.12,5025000
2019-01-31,CUS000362,SGP,1400,8703.03,11984000
2019-01-31,CUS000362,VNM,700,77115.5,54068000
2019-01-31,CUS000362,VTP,900,29705.6,28494000
2019-01-31,CUS000362,LGL,1700,7441.15,12308000
2019-01-31,CUS000369,VEF,1200,59258.75,73500000
2019-01-31,CUS000372,VCG,2400,12707.37,29640000
2019-01-31,CUS000374,DPG,400,14101.12,4532000
2019-01-31,CUS000374,HBC,500,13540.28,6440000
2019-01-31,CUS000374,SCR,1300,6299.44,8359000
2019-01-31,CUS000374,TTB,300,21281.88,6309000
2019-01-31,CUS000374,PXS,1800,4116.16,7110000
2019-01-31,CUS000380,CTG,1500,8162.23,13335000
2019-01-31,CUS000380,TCM,4100,10824.26,44608000
2019-01-31,CUS000389,LGL,4400,7461.18,31856000
2019-01-31,CUS000389,NT2,3100,18247.33,57040000
2019-01-31,CUS000389,NVL,1800,29464.13,52866000
2019-01-31,CUS000390,NT2,14000,17866.06,257600000
2019-01-31,CUS000392,VJC,3300,88732.9,310761000
2019-01-31,CUS000392,FTM,11600,16124.15,174000000
2019-01-31,CUS000392,FCN,19700,10543.04,212957000
2019-01-31,CUS000392,PPC,8000,9584.35,88800000
2019-01-31,CUS000392,VCG,2700,11612.95,33345000
2019-01-31,CUS000392,VGC,2300,13079.59,30843000
2019-01-31,CUS000393,BVH,200,74857.12,15498000
2019-01-31,CUS000393,DRH,300,7473.07,2136000
2019-01-31,CUS000393,FMC,900,19278.88,16704000
2019-01-31,CUS000393,OIL,1000,12538.78,13080000
2019-01-31,CUS000393,PLX,300,40664.24,12015000
2019-01-31,CUS000393,ITA,7100,2824.23,19170000
2019-01-31,CUS000393,TLD,2100,6039.05,12663000
2019-01-31,CUS000393,SSI,1600,6589.87,10560000
2019-01-31,CUS000394,VPG,200,6910.35,1322000
2019-01-31,CUS000394,QCG,400,4887.32,1840000
2019-01-31,CUS000394,TNI,100,9273.89,922000
2019-01-31,CUS000394,NLG,100,15943.88,1568000
2019-01-31,CUS000398,CII,11600,18167.21,195576000
2019-01-31,CUS000398,VCS,5400,38301.81,202122000
2019-01-31,CUS000398,HT1,6600,11116.65,76296000
2019-01-31,CUS000400,VCG,200,12078.09,2470000
2019-01-31,CUS000400,VOS,3700,1642.46,6179000
2019-01-31,CUS000402,VJC,100,87581.18,9417000
2019-01-31,CUS000403,NTC,300,39809.62,12423000
2019-01-31,CUS000403,VND,4800,2954.43,14160000
2019-01-31,CUS000403,CTI,600,18778.12,11244000
2019-01-31,CUS000404,HBC,8300,13281.82,106904000
2019-01-31,CUS000420,NTC,300,42603.81,12423000
2019-01-31,CUS000428,AAA,2300,10495.72,24081000
2019-01-31,CUS000428,BID,900,16474.67,14310000
2019-01-31,CUS000428,HDG,3100,8753.11,26908000
2019-01-31,CUS000437,VTP,600,29612.69,18996000
2019-01-31,CUS000445,CMX,3900,9053.56,38649000
2019-01-31,CUS000447,HNG,2800,14978.51,40040000
2019-01-31,CUS000447,STB,400,11394.57,4920000
2019-01-31,CUS000447,CMG,1100,9153.71,11198000
2019-01-31,CUS000447,SRC,300,10325.47,3216000
2019-01-31,CUS000451,KSB,6300,15803.51,99729000
2019-01-31,CUS000451,HHP,4500,10198.61,46305000
2019-01-31,CUS000451,GAS,25300,52007.89,1321419000
2019-01-31,CUS000451,CTD,2600,96985.26,213330000
2019-01-31,CUS000451,SRC,4600,10996.47,49312000
2019-01-31,CUS000451,VTP,3600,29662.76,113976000
2019-01-31,CUS000454,BID,4000,16494.71,63600000
2019-01-31,CUS000454,NT2,2100,18287.39,38640000
2019-01-31,CUS000457,HII,400,7511.25,2952000
2019-01-31,CUS000457,KBC,300,9744.59,2973000
2019-01-31,CUS000457,HPG,2400,6930.38,15744000
2019-01-31,CUS000457,CTI,400,18938.37,7496000
2019-01-31,CUS000457,HHP,1200,10465.67,12348000
2019-01-31,CUS000457,TPB,1300,5948.91,7670000
2019-01-31,CUS000460,VJC,200,87731.4,18834000
2019-01-31,CUS000460,KBC,1700,9674.49,16847000
2019-01-31,CUS000460,SJS,2800,8192.27,22512000
2019-01-31,CUS000464,SHI,400,3525.28,1624000
2019-01-31,CUS000464,PHR,300,13370.02,3936000
2019-01-31,CUS000464,AAA,300,10425.61,3141000
2019-01-31,CUS000464,SJS,700,7904.7,5628000
2019-01-31,CUS000464,ACL,100,15112.64,1548000
2019-01-31,CUS000469,VGI,2200,14000.97,32252000
2019-01-31,CUS000469,SRC,3200,10686.0,34304000
2019-01-31,CUS000469,DLG,35100,1402.1,46332000
2019-01-31,CUS000469,HT1,2800,11447.15,32368000
2019-01-31,CUS000469,PVS,1600,12018.0,18720000
2019-01-31,CUS000471,PPC,100,10035.03,1110000
2019-01-31,CUS000473,VGI,2800,13610.39,41048000
2019-01-31,CUS000475,CTI,9800,18247.33,183652000
2019-01-31,CUS000480,STB,800,11420.15,9840000
2019-01-31,CUS000480,CTD,100,97696.32,8205000
2019-01-31,CUS000480,VEA,300,20881.28,6768000
2019-01-31,CUS000480,ACL,700,15363.01,10836000
2019-01-31,CUS000480,VHC,400,30896.28,12308000
2019-01-31,CUS000484,AAA,3200,10275.39,33504000
2019-01-31,CUS000484,STB,1000,11467.17,12300000
2019-01-31,CUS000484,VGI,800,15012.49,11728000
2019-01-31,CUS000484,VHM,200,28272.35,5612000
2019-01-31,CUS000484,VPI,100,19569.31,1962000
2019-01-31,CUS000484,CMG,1600,10345.5,16288000
2019-01-31,CUS000485,ITA,5900,2994.49,15930000
2019-01-31,CUS000485,SCR,3300,6145.26,21219000
2019-01-31,CUS000485,STB,1500,12248.34,18450000
2019-01-31,CUS000488,VTP,6400,29757.07,202624000
2019-01-31,CUS000489,VEF,200,54461.57,12250000
2019-01-31,CUS000489,HT1,9800,11326.97,113288000
2019-01-31,CUS000489,TCM,12000,10866.27,130560000
2019-01-31,CUS000494,VNG,1600,20390.54,33360000
2019-01-31,CUS000500,ITA,14600,2955.59,39420000
2019-01-31,CUS000500,SBT,1400,13690.5,19138000
2019-01-31,CUS000500,TGG,7700,2784.17,21868000
2019-01-31,CUS000501,FTS,2300,4566.84,10304000
2019-01-31,CUS000501,BID,8700,16745.08,138330000
2019-01-31,CUS000501,PHR,5700,12859.26,74784000
2019-01-31,CUS000501,IDI,5700,5317.97,30495000
2019-01-31,CUS000506,TIG,8200,1241.86,9594000
2019-01-31,CUS000506,VCI,400,6599.54,2500000
2019-01-31,CUS000513,HBC,41400,12398.57,533232000
2019-01-31,CUS000513,DAH,2500,6119.16,15500000
2019-01-31,CUS000513,VCB,3200,23495.19,77280000
2019-01-31,CUS000513,SRC,1400,10906.33,15008000
2019-01-31,CUS000513,HDG,7400,8713.05,64232000
2019-01-31,CUS000514,POW,15200,12756.34,197448000
2019-01-31,CUS000514,CNG,200,13039.53,2544000
2019-01-31,CUS000514,DDG,2300,10004.99,23207000
2019-01-31,CUS000514,NT2,2900,18347.48,53360000
2019-01-31,CUS000520,VGI,10800,15393.06,158328000
2019-01-31,CUS000520,DHG,5800,53750.5,320334000
2019-01-31,CUS000522,CII,800,18716.98,13488000
2019-01-31,CUS000522,ACB,3500,5628.43,19705000
2019-01-31,CUS000525,MSN,300,63147.44,18885000
2019-01-31,CUS000525,VCG,1400,11737.58,17290000
2019-01-31,CUS000525,SRC,600,10826.22,6432000
2019-01-31,CUS000525,PLX,1100,39839.67,44055000
2019-01-31,CUS000537,VJC,200,88071.91,18834000
2019-01-31,CUS000537,VNM,100,77055.41,7724000
2019-01-31,CUS000537,CTI,200,18517.74,3748000
2019-01-31,CUS000537,HAX,600,5277.9,3156000
2019-01-31,CUS000537,HQC,9900,1362.04,13662000
2019-01-31,CUS000537,CMX,1000,9804.68,9910000
2019-01-31,CUS000541,GMC,1900,17876.25,41572000
2019-01-31,CUS000541,AMV,100,15182.74,1455000
2019-01-31,CUS000541,KMR,4000,3204.8,11120000
2019-01-31,CUS000541,DVN,900,12148.19,10926000
2019-01-31,CUS000541,TCB,600,12328.47,7356000
2019-01-31,CUS000541,VTP,100,29414.06,3166000
2019-01-31,CUS000546,FPT,71300,12073.31,873425000
2019-01-31,CUS000546,PTB,1100,21392.04,23276000
2019-01-31,CUS000546,VND,26700,2994.49,78765000
2019-01-31,CUS000546,STB,186400,11817.7,2292720000
2019-01-31,CUS000546,FMC,5000,18607.87,92800000
2019-01-31,CUS000548,SHB,1900,2293.43,4427000
2019-01-31,CUS000548,CEN,300,11657.46,3339000
2019-01-31,CUS000548,NT2,500,17946.88,9200000
2019-01-31,CUS000548,MCH,200,37045.49,7312000
2019-01-31,CUS000551,TV2,600,21652.43,11760000
2019-01-31,CUS000551,SSI,1800,6519.77,11880000
2019-01-31,CUS000551,NTC,100,41742.52,4141000
2019-01-31,CUS000551,VPI,200,19499.21,3924000
2019-01-31,CUS000555,NTC,1300,37038.55,53833000
2019-01-31,CUS000555,SRC,4300,9614.4,46096000
2019-01-31,CUS000555,OIL,1400,13039.53,18312000
2019-01-31,CUS000555,GEX,6800,8613.34,58140000
2019-01-31,CUS000555,SHS,11900,2674.01,31297000
2019-01-31,CUS000572,PDR,400,8012.0,3320000
2019-01-31,CUS000572,GEX,100,8602.89,855000
2019-01-31,CUS000572,STB,100,12258.36,1230000
2019-01-31,CUS000576,CTG,8200,8532.78,72898000
2019-01-31,CUS000582,MPC,3700,14962.41,54982000
2019-01-31,CUS000584,TLD,1200,5798.69,7236000
2019-01-31,CUS000588,VCB,1300,23715.52,31395000
2019-01-31,CUS000592,VJC,300,91236.65,28251000
2019-01-31,CUS000592,AAA,4500,10532.48,47115000
2019-01-31,CUS000592,VEF,100,55142.59,6125000
2019-01-31,CUS000592,DHG,200,52859.17,11046000
2019-01-31,CUS000592,STK,4600,6409.6,30084000
2019-01-31,CUS000592,SJS,7600,8057.59,61104000
2019-01-31,CUS000593,KPF,1800,19439.12,34488000
