stock_code,company_name,company_short_name,exchange,instrument_type,icb_level,icb_code,icb_name
ACG,CTCP Gỗ An Cường,,HOSE,STOCK,4,1733,Lâm sản và Chế biến gỗ
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
ACM,CTCP Tập đoàn Khoáng sản Á Cường,,UPCOM,STOCK,4,1775,Khai khoáng
ACS,CTCP Xây lắp Thương mại 2,,UPCOM,STOCK,4,2357,Xây dựng
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
ADC,CTCP Mỹ thuật và Truyền thông,,HNX,STOCK,4,5557,"Sách, ấn bản & sản phẩm văn hóa"
ADG,CTCP Clever Group,,HOSE,STOCK,4,5555,Dịch vụ truyền thông
ADP,CTCP Sơn Á Đông,,HOSE,STOCK,4,2353,Vật liệu xây dựng & Nội thất
ADS,CTCP Damsan,,HOSE,STOCK,4,3763,Hàng May mặc
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,,HOSE,STOCK,4,5337,Phân phối thực phẩm
AG1,CTCP 28.1,,UPCOM,STOCK,4,3763,Hàng May mặc
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,,HOSE,STOCK,4,8633,Bất động sản
AGM,CTCP Xuất Nhập khẩu An Giang,,UPCOM,STOCK,4,3577,Thực phẩm
AGP,CTCP Dược phẩm Agimexpharm,,UPCOM,STOCK,4,4577,Dược phẩm
AGR,CTCP Chứng khoán Agribank,,HOSE,STOCK,4,8777,Môi giới chứng khoán
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,,UPCOM,STOCK,4,5337,Phân phối thực phẩm
AIC,Tổng Công ty Cổ phần Bảo hiểm DBV,,UPCOM,STOCK,4,8536,Bảo hiểm phi nhân thọ
AIG,CTCP Nguyên liệu Á Châu AIG,,UPCOM,STOCK,4,3577,Thực phẩm
ALC,CTCP Âu Lạc,,UPCOM,STOCK,4,2773,Vận tải Thủy
ALT,CTCP Văn hóa Tân Bình,,HNX,STOCK,4,5557,"Sách, ấn bản & sản phẩm văn hóa"
ALV,CTCP Tập đoàn MCST,,UPCOM,STOCK,4,2357,Xây dựng
AMC,CTCP Khoáng sản Á Châu,,HNX,STOCK,4,1775,Khai khoáng
AME,CTCP Alphanam E&C,,HNX,STOCK,4,2737,Thiết bị điện
AMP,CTCP Armephaco,,UPCOM,STOCK,4,4577,Dược phẩm
AMS,CTCP Cơ khí Xây dựng AMECC,,UPCOM,STOCK,4,2797,Nhà cung cấp thiết bị
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,,HNX,STOCK,4,4535,Thiết bị y tế
ANI,CTCP ANI,,UPCOM,STOCK,4,7535,Sản xuất & Phân phối Điện
ANT,CTCP Rau quả Thực phẩm An Giang,,HOSE,STOCK,4,3577,Thực phẩm
ANV,CTCP Nam Việt,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
APC,CTCP Chiếu xạ An Phú,,UPCOM,STOCK,4,4573,Công nghệ sinh học
APF,CTCP Nông sản Thực phẩm Quảng Ngãi,,UPCOM,STOCK,4,3577,Thực phẩm
APG,CTCP Chứng khoán APG,,HOSE,STOCK,4,8777,Môi giới chứng khoán
APH,CTCP Tập đoàn An Phát Holdings,,HOSE,STOCK,4,2723,Containers & Đóng gói
API,CTCP Đầu tư Châu Á - Thái Bình Dương,,HNX,STOCK,4,8633,Bất động sản
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,,UPCOM,STOCK,4,2757,Máy công nghiệp
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,,UPCOM,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,,HNX,STOCK,4,8777,Môi giới chứng khoán
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
ARM,CTCP Xuất nhập khẩu Hàng không,,HNX,STOCK,4,2797,Nhà cung cấp thiết bị
ART,CTCP Chứng khoán ARTEX,,UPCOM,STOCK,4,8777,Môi giới chứng khoán
ASG,CTCP Tập đoàn ASG,,HOSE,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
ASM,CTCP Tập đoàn Sao Mai,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
ASP,CTCP Tập đoàn Dầu khí An Pha,,HOSE,STOCK,4,7573,Phân phối xăng dầu & khí đốt
AST,CTCP Dịch vụ Hàng không Taseco,,HOSE,STOCK,4,5379,Phân phối hàng chuyên dụng
ATA,CTCP Ntaco,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
ATG,CTCP ATG Planet,,UPCOM,STOCK,4,1775,Khai khoáng
ATS,CTCP Tập đoàn Đầu tư ATS,,HNX,STOCK,4,5757,Nhà hàng và quán bar
AVC,CTCP Thủy điện A Vương,,UPCOM,STOCK,4,7535,Sản xuất & Phân phối Điện
AVG,CTCP Phân bón Quốc tế Âu Việt,,UPCOM,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BAB,Ngân hàng TMCP Bắc Á,,HNX,STOCK,4,8355,Ngân hàng
BAF,CTCP Nông nghiệp BAF Việt Nam,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,,UPCOM,STOCK,4,2723,Containers & Đóng gói
BAX,CTCP Thống Nhất,,HNX,STOCK,4,2357,Xây dựng
BBH,CTCP Bao bì Hoàng Thạch,,UPCOM,STOCK,4,2723,Containers & Đóng gói
BBM,CTCP Bia Hà Nội - Nam Định,,UPCOM,STOCK,4,3533,Sản xuất bia
BBS,CTCP VICEM Bao bì Bút Sơn,,HNX,STOCK,4,2723,Containers & Đóng gói
BBT,CTCP Bông Bạch Tuyết,,UPCOM,STOCK,4,3767,Hàng cá nhân
BCA,CTCP B.C.H,,UPCOM,STOCK,4,1757,Thép và sản phẩm thép
BCB,CTCP 397,,UPCOM,STOCK,4,1771,Khai thác Than
BCC,CTCP Xi măng Bỉm Sơn,,HNX,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BCE,CTCP Xây dựng và Giao thông Bình Dương,,HOSE,STOCK,4,2357,Xây dựng
BCF,CTCP Thực phẩm Bích Chi,,HNX,STOCK,4,3577,Thực phẩm
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,,HOSE,STOCK,4,8633,Bất động sản
BCP,CTCP Dược ENLIE,,UPCOM,STOCK,4,4577,Dược phẩm
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,,UPCOM,STOCK,4,5753,Khách sạn
BDG,CTCP May mặc Bình Dương,,UPCOM,STOCK,4,3763,Hàng May mặc
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BDW,CTCP Cấp thoát nước Bình Định,,UPCOM,STOCK,4,7577,Nước
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,,HNX,STOCK,4,5557,"Sách, ấn bản & sản phẩm văn hóa"
BEL,CTCP Điện tử Biên Hòa,,UPCOM,STOCK,4,3743,Điện tử tiêu dùng
BFC,CTCP Phân bón Bình Điền,,HOSE,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BGE,CTCP BCG Energy,,UPCOM,STOCK,4,7535,Sản xuất & Phân phối Điện
BGW,CTCP Nước sạch Bắc Giang,,UPCOM,STOCK,4,7577,Nước
BHA,CTCP Thủy điện Bắc Hà,,UPCOM,STOCK,4,7535,Sản xuất & Phân phối Điện
BHC,CTCP Bê tông Biên Hòa,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BHG,CTCP Chè Biển Hồ,,UPCOM,STOCK,4,3537,Đồ uống & giải khát
BHH,CTCP Bia Hà Nội - Hưng Yên 89,,UPCOM,STOCK,4,3533,Sản xuất bia
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,,UPCOM,STOCK,4,8536,Bảo hiểm phi nhân thọ
BHK,CTCP Bia Hà Nội - Kim Bài,,UPCOM,STOCK,4,3533,Sản xuất bia
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,,HOSE,STOCK,4,3533,Sản xuất bia
BHP,CTCP Bia Hà Nội - Hải Phòng,,UPCOM,STOCK,4,3533,Sản xuất bia
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,,HOSE,STOCK,4,8536,Bảo hiểm phi nhân thọ
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,HOSE,STOCK,4,8355,Ngân hàng
BIG,CTCP Tập đoàn Đầu tư Big,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,,UPCOM,STOCK,4,4577,Dược phẩm
BKC,CTCP Khoáng sản Bắc Kạn,,HNX,STOCK,4,1775,Khai khoáng
BKG,CTCP Đầu tư BKG Việt Nam,,HOSE,STOCK,4,3726,Thiết bị gia dụng
BLF,CTCP Thủy sản Bạc Liêu,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,,UPCOM,STOCK,4,8536,Bảo hiểm phi nhân thọ
BLN,CTCP Vận tải và Dịch vụ Liên Ninh,,UPCOM,STOCK,4,5759,Vận tải hành khách & Du lịch
BLT,CTCP Lương thực Bình Định,,UPCOM,STOCK,4,3577,Thực phẩm
BMC,CTCP Khoáng sản Bình Định,,HOSE,STOCK,4,1775,Khai khoáng
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,,UPCOM,STOCK,4,2799,Chất thải & Môi trường
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,,UPCOM,STOCK,4,7573,Phân phối xăng dầu & khí đốt
BMG,CTCP May Bình Minh,,UPCOM,STOCK,4,3763,Hàng May mặc
BMI,Tổng Công ty cổ phần Bảo Minh,,HOSE,STOCK,4,8536,Bảo hiểm phi nhân thọ
BMJ,CTCP Khoáng sản Miền Đông AHP,,UPCOM,STOCK,4,1775,Khai khoáng
BMK,CTCP Kỹ thuật nhiệt Mèo Đen,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BMP,CTCP Nhựa Bình Minh,,HOSE,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BMS,CTCP Chứng khoán Bảo Minh,,UPCOM,STOCK,4,8777,Môi giới chứng khoán
BMV,CTCP Bột mỳ Vinafood 1,,UPCOM,STOCK,4,3577,Thực phẩm
BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,,HNX,STOCK,4,3577,Thực phẩm
BNW,CTCP Nước sạch Bắc Ninh,,UPCOM,STOCK,4,7577,Nước
BOT,CTCP BOT Cầu Thái Hà,,UPCOM,STOCK,4,2357,Xây dựng
BPC,CTCP VICEM Bao bì Bỉm Sơn,,HNX,STOCK,4,2723,Containers & Đóng gói
BQB,CTCP Bia Hà Nội - Quảng Bình,,UPCOM,STOCK,4,3533,Sản xuất bia
BQP,CTCP Nhựa Chất lượng cao Bình Thuận,,UPCOM,STOCK,4,1353,"Nhựa, cao su & sợi"
BRC,CTCP Cao su Bến Thành,,HOSE,STOCK,4,1353,"Nhựa, cao su & sợi"
BRR,CTCP Cao su Bà Rịa,,UPCOM,STOCK,4,1353,"Nhựa, cao su & sợi"
BRS,CTCP Dịch vụ Đô thị Bà Rịa,,UPCOM,STOCK,4,2799,Chất thải & Môi trường
BSA,CTCP Thủy điện Buôn Đôn,,UPCOM,STOCK,4,7535,Sản xuất & Phân phối Điện
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",,UPCOM,STOCK,4,3533,Sản xuất bia
BSG,CTCP Xe khách Sài Gòn,,UPCOM,STOCK,4,5759,Vận tải hành khách & Du lịch
BSH,CTCP Bia Sài Gòn - Hà Nội,,UPCOM,STOCK,4,3533,Sản xuất bia
BSI,CTCP Chứng khoán BIDV,,HOSE,STOCK,4,8777,Môi giới chứng khoán
BSL,CTCP Bia Sài Gòn - Sông Lam,,UPCOM,STOCK,4,3533,Sản xuất bia
BSP,CTCP Bia Sài Gòn - Phú Thọ,,UPCOM,STOCK,4,3533,Sản xuất bia
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,,UPCOM,STOCK,4,3533,Sản xuất bia
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam,,HOSE,STOCK,4,0533,Sản xuất và Khai thác dầu khí
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,,UPCOM,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BT6,CTCP Beton 6,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BTB,CTCP Bia Hà Nội - Thái Bình,,UPCOM,STOCK,4,3533,Sản xuất bia
BTD,CTCP Bê tông Ly tâm Thủ Đức,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BTG,CTCP Bao bì Tiền Giang,,UPCOM,STOCK,4,2723,Containers & Đóng gói
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,,UPCOM,STOCK,4,2737,Thiết bị điện
BTN,CTCP Đầu tư Bitco Bình Định,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BTP,CTCP Nhiệt điện Bà Rịa,,HOSE,STOCK,4,7535,Sản xuất & Phân phối Điện
BTS,CTCP Xi măng VICEM Bút Sơn,,HNX,STOCK,4,2353,Vật liệu xây dựng & Nội thất
BTT,CTCP Thương mại Dịch vụ Bến Thành,,HOSE,STOCK,4,5373,Bán lẻ phức hợp
BTU,CTCP Công trình Đô thị Bến Tre,,UPCOM,STOCK,4,2799,Chất thải & Môi trường
BTV,CTCP Dịch vụ Du lịch Bến Thành,,UPCOM,STOCK,4,5759,Vận tải hành khách & Du lịch
BTW,CTCP Cấp nước Bến Thành,,HNX,STOCK,4,7577,Nước
BVB,Ngân hàng TMCP Bản Việt,,HOSE,STOCK,4,8355,Ngân hàng
BVG,CTCP Group Bắc Việt,,UPCOM,STOCK,4,1757,Thép và sản phẩm thép
BVH,Tập đoàn Bảo Việt,,HOSE,STOCK,4,8575,Bảo hiểm nhân thọ
BVL,CTCP BV Land,,UPCOM,STOCK,4,8637,"Tư Vấn, Định giá, Môi giới Bất động sản"
BVN,CTCP Bông Việt Nam,,UPCOM,STOCK,4,3767,Hàng cá nhân
BVS,CTCP Chứng khoán Bảo Việt,,HNX,STOCK,4,8777,Môi giới chứng khoán
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,,UPCOM,STOCK,4,7577,Nước
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,,HOSE,STOCK,4,7577,Nước
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,,UPCOM,STOCK,4,7577,Nước
BXH,CTCP VICEM Bao bì Hải Phòng,,HNX,STOCK,4,2723,Containers & Đóng gói
C21,CTCP Thế Kỷ 21 ,,UPCOM,STOCK,4,8633,Bất động sản
C22,CTCP 22,,UPCOM,STOCK,4,3577,Thực phẩm
C32,CTCP Đầu tư và Xây dựng 3-2,,HOSE,STOCK,4,2353,Vật liệu xây dựng & Nội thất
C47,CTCP Xây dựng 47,,HOSE,STOCK,4,2357,Xây dựng
C4G,CTCP Tập đoàn CIENCO4,,UPCOM,STOCK,4,2357,Xây dựng
C69,CTCP Xây dựng 1369,,HNX,STOCK,4,2357,Xây dựng
C92,CTCP Xây dựng và Đầu tư 492,,UPCOM,STOCK,4,2357,Xây dựng
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
CAG,CTCP Cảng An Giang,,HNX,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CAN,CTCP Đồ hộp Hạ Long,,HNX,STOCK,4,3577,Thực phẩm
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,,HNX,STOCK,4,1737,Sản xuất giấy
CAR,CTCP Tập đoàn Giáo dục Trí Việt,,HNX,STOCK,4,2793,Đào tạo & Việc làm
CAT,CTCP Thủy sản Cà Mau,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
CBI,CTCP Gang thép Cao Bằng,,UPCOM,STOCK,4,1757,Thép và sản phẩm thép
CBS,CTCP Mía Đường Cao Bằng,,UPCOM,STOCK,4,3577,Thực phẩm
CC1,Tổng Công ty Xây dựng Số 1 - CTCP,,UPCOM,STOCK,4,2357,Xây dựng
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
CCC,CTCP Xây dựng CDC,,HOSE,STOCK,4,2357,Xây dựng
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,,HOSE,STOCK,4,7573,Phân phối xăng dầu & khí đốt
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,,HOSE,STOCK,4,8633,Bất động sản
CCM,CTCP khoáng sản và Xi măng Cần Thơ,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CCP,CTCP Cảng Cửa Cấm Hải Phòng,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CCR,CTCP Cảng Cam Ranh,,HNX,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CCS,CTCP Chíp Sáng,,UPCOM,STOCK,4,8633,Bất động sản
CCT,CTCP Cảng Cần Thơ,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,,UPCOM,STOCK,4,2357,Xây dựng
CDC,CTCP Chương Dương,,HOSE,STOCK,4,2357,Xây dựng
CDG,CTCP Cầu Đuống,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CDN,CTCP Cảng Đà Nẵng,,HNX,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,,UPCOM,STOCK,4,2357,Xây dựng
CDP,CTCP Dược phẩm Trung ương Codupha,,UPCOM,STOCK,4,4577,Dược phẩm
CDR,CTCP Xây dựng Cao su Đồng Nai,,UPCOM,STOCK,4,2357,Xây dựng
CEN,CTCP CENCON Việt Nam,,UPCOM,STOCK,4,5373,Bán lẻ phức hợp
CEO,CTCP Tập đoàn C.E.O,,HNX,STOCK,4,8633,Bất động sản
CET,CTCP HTC Holding,,HNX,STOCK,4,3767,Hàng cá nhân
CFM,CTCP CFM Private Equity,,UPCOM,STOCK,4,2793,Đào tạo & Việc làm
CFV,CTCP Cà phê Thắng Lợi,,UPCOM,STOCK,4,3537,Đồ uống & giải khát
CGV,CTCP Vinaceglass,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CH5,CTCP Xây dựng Số 5 Hà Nội,,UPCOM,STOCK,4,2357,Xây dựng
CHC,CTCP Cẩm Hà,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CHP,CTCP Thủy điện Miền Trung,,HOSE,STOCK,4,7535,Sản xuất & Phân phối Điện
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,,UPCOM,STOCK,4,7575,Tiện ích khác
CI5,CTCP Đầu Tư Xây dựng Số 5,,UPCOM,STOCK,4,2357,Xây dựng
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,,HNX,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,,UPCOM,STOCK,4,2357,Xây dựng
CIG,CTCP COMA 18,,HOSE,STOCK,4,2357,Xây dựng
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,,HOSE,STOCK,4,2357,Xây dựng
CIP,CTCP Xây lắp và Sản xuất Công nghiệp,,UPCOM,STOCK,4,2357,Xây dựng
CJC,CTCP Cơ điện Miền Trung,,HNX,STOCK,4,2737,Thiết bị điện
CK8,CTCP Cơ khí 120,,UPCOM,STOCK,4,8633,Bất động sản
CKA,CTCP Cơ Khí An Giang,,UPCOM,STOCK,4,2757,Máy công nghiệp
CKD,CTCP Cơ khí Đông Anh LICOGI,,UPCOM,STOCK,4,2757,Máy công nghiệp
CKG,CTCP Tập đoàn CIC,,HOSE,STOCK,4,8633,Bất động sản
CKV,CTCP COKYVINA,,HNX,STOCK,4,9578,Thiết bị viễn thông
CLC,CTCP Cát Lợi,,HOSE,STOCK,4,3785,Thuốc lá
CLH,CTCP Xi măng La Hiên VVMI,,HNX,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CLI,CTCP Tập đoàn CNCTech,,UPCOM,STOCK,4,1755,Kim Loại màu
CLL,CTCP Cảng Cát Lái,,HOSE,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,,HNX,STOCK,4,1771,Khai thác Than
CLW,CTCP Cấp nước Chợ Lớn,,HOSE,STOCK,4,7577,Nước
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),,UPCOM,STOCK,4,3577,Thực phẩm
CMC,CTCP Đầu tư CMC,,HNX,STOCK,4,2757,Máy công nghiệp
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CMF,CTCP Thực phẩm Cholimex,,UPCOM,STOCK,4,3577,Thực phẩm
CMG,CTCP Tập đoàn Công nghệ CMC,,HOSE,STOCK,4,9533,Dịch vụ Máy tính
CMI,CTCP CMISTONE Việt Nam,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CMK,CTCP Cơ khí Mạo Khê - Vinacomin,,UPCOM,STOCK,4,2757,Máy công nghiệp
CMM,CTCP Camimex,,UPCOM,STOCK,4,3577,Thực phẩm
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,,UPCOM,STOCK,4,3577,Thực phẩm
CMP,CTCP Cảng Chân Mây,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CMS,CTCP Tập Đoàn CMH Việt Nam,,HNX,STOCK,4,2357,Xây dựng
CMT,CTCP Công nghệ Mạng và Truyền thông,,UPCOM,STOCK,4,9537,Phần mềm
CMV,CTCP Thương nghiệp Cà Mau,,HOSE,STOCK,4,5373,Bán lẻ phức hợp
CMW,CTCP Cấp nước Cà Mau,,UPCOM,STOCK,4,7577,Nước
CMX,CTCP Camimex Group,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
CNA,CTCP Tổng Công ty Chè Nghệ An,,UPCOM,STOCK,4,3573,Nuôi trồng nông & hải sản
CNC,CTCP Công nghệ Cao Traphaco,,UPCOM,STOCK,4,4577,Dược phẩm
CNG,CTCP CNG Việt Nam,,HOSE,STOCK,4,7573,Phân phối xăng dầu & khí đốt
CNN,"CTCP Tư vấn Công nghệ, Thiết bị và Kiểm Định Xây dựng - Coninco",,UPCOM,STOCK,4,2357,Xây dựng
CNT,CTCP Tập đoàn CNT,,UPCOM,STOCK,4,8633,Bất động sản
COM,CTCP Vật tư - Xăng Dầu,,HOSE,STOCK,4,5379,Phân phối hàng chuyên dụng
CPA,CTCP Cà phê Phước An,,UPCOM,STOCK,4,3537,Đồ uống & giải khát
CPC,CTCP Thuốc sát trùng Cần Thơ,,HNX,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
CPH,CTCP Phục vụ Mai táng Hải Phòng,,UPCOM,STOCK,4,5377,Dịch vụ tiêu dùng chuyên ngành
CPI,CTCP Đầu tư Cảng Cái Lân,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CQN,CTCP Cảng Quảng Ninh,,UPCOM,STOCK,4,2777,"Kho bãi, hậu cần và bảo dưỡng"
CQT,CTCP Xi măng Quán Triều VVMI,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CRC,CTCP Create Capital Việt Nam,,HOSE,STOCK,4,2353,Vật liệu xây dựng & Nội thất
CRE,CTCP Bất động sản Thế Kỷ,,HOSE,STOCK,4,8633,Bất động sản
CRV,CTCP Tập đoàn Bất động sản CRV,,HOSE,STOCK,4,8633,Bất động sản
CSC,CTCP Tập đoàn Cotana,,HNX,STOCK,4,2357,Xây dựng
CSI,CTCP Chứng khoán Kirin,,UPCOM,STOCK,4,8777,Môi giới chứng khoán
CSM,CTCP Công nghiệp Cao su Miền Nam,,HOSE,STOCK,4,3357,Lốp xe
CST,CTCP Than Cao Sơn - TKV,,HNX,STOCK,4,1771,Khai thác Than
CSV,CTCP Hóa chất Cơ bản Miền Nam,,HOSE,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
CT3,CTCP Đầu tư và Xây dựng Công trình 3,,UPCOM,STOCK,4,2357,Xây dựng
CT6,CTCP Công trình 6,,UPCOM,STOCK,4,2357,Xây dựng
CTB,CTCP Chế tạo Bơm Hải Dương,,HNX,STOCK,4,2757,Máy công nghiệp
CTD,CTCP Xây dựng Coteccons,,HOSE,STOCK,4,2357,Xây dựng
CTF,CTCP City Auto,,HOSE,STOCK,4,3353,Sản xuất ô tô
