research_date,stock_code,market_score,recommendation,candidate_rank,buy_price,sell_price
2019-01-04,EIB,67.33,BUY,6,9000,9760
2019-01-04,NT2,66.55,BUY,7,15870,17170
2019-01-04,QNS,64.74,BUY,8,19140,20540
2019-01-04,OGC,64.32,BUY,9,3610,3870
2019-01-04,DST,64.03,BUY,10,1980,2120
2019-01-04,TCH,63.88,BUY,11,7560,8090
2019-01-04,SRC,63.32,BUY,12,8500,9070
2019-01-04,DIG,63.21,BUY,13,6780,7230
2019-01-04,ACV,63.1,BUY,14,51640,55060
2019-01-04,VIC,62.57,BUY,15,44210,47040
2019-01-04,VHC,62.16,BUY,16,29290,31110
2019-01-04,NVL,61.85,BUY,17,32440,34400
2019-01-04,TNI,61.83,BUY,18,9180,9730
2019-01-04,KBC,61.65,BUY,19,9130,9670
2019-01-04,HHS,61.47,BUY,20,2690,2850
2019-01-04,NAF,61.1,BUY,21,10410,11000
2019-01-04,APG,61.08,BUY,22,4650,4920
2019-01-04,BVH,60.97,BUY,23,74360,78580
2019-01-04,ITA,60.86,BUY,24,2890,3050
2019-01-04,QBS,60.61,BUY,25,4360,4610
2019-01-04,CRE,60.29,BUY,26,6870,7240
2019-01-04,SHI,59.97,BUY,27,3460,3640
2019-01-04,SCR,59.53,BUY,28,5990,6290
2019-01-04,VJC,59.23,BUY,29,87890,92200
2019-01-04,PDR,59.09,BUY,30,8030,8410
2019-01-04,DXG,49.81,HOLD,31,10440,10510
2019-01-04,KSB,49.74,HOLD,32,15770,15880
2019-01-04,VPI,49.67,HOLD,33,19650,19780
2019-01-04,VPG,49.57,HOLD,34,6710,6750
2019-01-04,DGW,49.51,HOLD,35,4130,4150
2019-01-04,MPC,49.5,HOLD,36,12320,12390
2019-01-04,TDH,49.43,HOLD,37,6440,6470
2019-01-04,TPB,49.06,HOLD,38,5490,5510
2019-01-04,HTN,49.06,HOLD,39,4920,4940
2019-01-04,HAG,48.92,HOLD,40,4640,4660
2019-01-04,NDN,48.8,HOLD,41,5710,5730
2019-01-04,PNJ,48.71,HOLD,42,28370,28440
2019-01-04,TVC,48.38,HOLD,43,8420,8430
2019-01-04,PVT,48.27,HOLD,44,7130,7140
2019-01-04,CTI,48.09,HOLD,45,17710,17720
2019-01-04,MST,32.45,SELL,46,3490,3250
2019-01-04,HBC,32.19,SELL,47,12500,11610
2019-01-04,HAR,31.2,SELL,48,4460,4130
2019-01-04,ART,30.74,SELL,49,2380,2200
2019-01-04,HCM,30.35,SELL,50,5920,5450
2019-01-04,VRC,29.7,SELL,51,17010,15620
2019-01-04,IDI,29.49,SELL,52,4200,3850
2019-01-04,TGG,29.12,SELL,53,2710,2480
2019-01-04,ASM,28.49,SELL,54,3610,3300
2019-01-04,QCG,27.98,SELL,55,3960,3600
2019-01-04,LDG,26.29,SELL,56,9650,8710
2019-01-04,PC1,26.15,SELL,57,7370,6650
2019-01-04,ANV,25.31,SELL,58,9330,8390
2019-01-04,DRH,24.83,SELL,59,7100,6370
2019-01-04,SRA,14.51,SELL,60,9270,7880
2019-01-07,VCS,80.11,BUY,1,39570,45170
2019-01-07,VEF,79.98,BUY,2,52130,59480
2019-01-07,TNA,75.0,BUY,3,6990,7830
2019-01-07,SRC,72.44,BUY,4,8870,9820
2019-01-07,NT2,69.91,BUY,5,16190,17750
2019-01-07,VGC,67.88,BUY,6,12030,13080
2019-01-07,PLX,66.17,BUY,7,40460,43690
2019-01-07,KBC,64.35,BUY,8,9580,10270
2019-01-07,PVS,63.58,BUY,9,10910,11660
2019-01-07,BWE,63.52,BUY,10,16390,17500
2019-01-07,SCR,62.99,BUY,11,6010,6410
2019-01-07,MPT,62.77,BUY,12,4420,4710
2019-01-07,QBS,62.54,BUY,13,4560,4850
2019-01-07,STK,62.45,BUY,14,5440,5780
2019-01-07,FPT,62.25,BUY,15,11570,12290
2019-01-07,CTD,61.73,BUY,16,96310,102100
2019-01-07,VHM,60.99,BUY,17,25750,27220
2019-01-07,VCB,60.76,BUY,18,22940,24230
2019-01-07,ACB,60.55,BUY,19,5380,5670
2019-01-07,KOS,60.42,BUY,20,17360,18300
2019-01-07,HDG,60.29,BUY,21,7930,8350
2019-01-07,DIG,59.68,BUY,22,6930,7290
2019-01-07,HDB,59.28,BUY,23,5690,5970
2019-01-07,DCL,59.07,BUY,24,9230,9670
2019-01-07,NLG,58.96,BUY,25,15170,15890
2019-01-07,TNI,58.91,BUY,26,9200,9630
2019-01-07,FCM,58.57,BUY,27,4370,4580
2019-01-07,ITA,57.84,BUY,28,2890,3010
2019-01-07,VNG,57.65,BUY,29,20040,20880
2019-01-07,BVH,57.47,BUY,30,73860,76910
2019-01-07,VRE,49.96,HOLD,31,25590,25800
2019-01-07,FCN,49.88,HOLD,32,11070,11150
2019-01-07,SKG,49.78,HOLD,33,10050,10120
2019-01-07,TNG,49.62,HOLD,34,5620,5660
2019-01-07,QNS,49.52,HOLD,35,19090,19200
2019-01-07,MSR,49.45,HOLD,36,15970,16060
2019-01-07,TCH,49.41,HOLD,37,7470,7510
2019-01-07,DGC,49.32,HOLD,38,8110,8160
2019-01-07,LDG,49.24,HOLD,39,9910,9960
2019-01-07,DHG,49.23,HOLD,40,47380,47600
2019-01-07,STB,49.21,HOLD,41,11060,11110
2019-01-07,SHB,49.15,HOLD,42,2250,2260
2019-01-07,HNG,49.02,HOLD,43,15280,15330
2019-01-07,SJS,48.98,HOLD,44,6310,6330
2019-01-07,TTB,48.96,HOLD,45,19100,19160
2019-01-07,HUT,35.03,SELL,46,3550,3340
2019-01-07,NTL,34.0,SELL,47,4570,4290
2019-01-07,PC1,31.96,SELL,48,7430,6900
2019-01-07,VRC,31.94,SELL,49,16860,15650
2019-01-07,ANV,29.71,SELL,50,8980,8240
2019-01-07,ART,28.29,SELL,51,2380,2170
2019-01-07,HAR,25.77,SELL,52,4330,3900
2019-01-07,TLH,24.77,SELL,53,3720,3330
2019-01-07,HVH,22.08,SELL,54,11620,10270
2019-01-07,TGG,21.73,SELL,55,2520,2220
2019-01-07,IDI,20.06,SELL,56,3910,3420
2019-01-07,ASM,19.55,SELL,57,3350,2930
2019-01-07,SJF,18.53,SELL,58,6910,6000
2019-01-07,IVS,18.22,SELL,59,11510,9980
2019-01-07,SRA,16.65,SELL,60,8410,7240
2019-01-08,STK,79.76,BUY,1,5790,6600
2019-01-08,SRC,79.26,BUY,2,9410,10710
2019-01-08,VEF,77.85,BUY,3,54250,61390
2019-01-08,VCS,77.76,BUY,4,39750,44960
2019-01-08,KBC,75.89,BUY,5,9650,10840
2019-01-08,QCG,73.64,BUY,6,4450,4960
2019-01-08,VNM,72.62,BUY,7,74350,82410
2019-01-08,HDG,71.75,BUY,8,8170,9030
2019-01-08,PVD,70.79,BUY,9,5870,6460
2019-01-08,VGC,67.95,BUY,10,12230,13300
2019-01-08,NT2,67.5,BUY,11,16190,17580
2019-01-08,PHR,65.51,BUY,12,12840,13820
2019-01-08,VJC,64.1,BUY,13,87740,93940
2019-01-08,TV2,64.07,BUY,14,21450,22960
2019-01-08,DST,63.53,BUY,15,2080,2230
2019-01-08,DAH,63.03,BUY,16,6150,6560
2019-01-08,VIC,62.3,BUY,17,44520,47310
2019-01-08,PAN,61.95,BUY,18,20030,21250
2019-01-08,STB,61.52,BUY,19,11410,12080
2019-01-08,HDB,60.62,BUY,20,5670,5990
2019-01-08,VND,60.41,BUY,21,3030,3190
2019-01-08,HII,60.19,BUY,22,7450,7850
2019-01-08,HHP,59.97,BUY,23,10080,10610
2019-01-08,DTD,59.63,BUY,24,4050,4250
2019-01-08,PLX,59.36,BUY,25,40680,42700
2019-01-08,TDH,58.85,BUY,26,6550,6860
2019-01-08,DDG,58.05,BUY,27,9800,10230
2019-01-08,PVS,57.91,BUY,28,11170,11650
2019-01-08,NDN,57.85,BUY,29,5960,6220
2019-01-08,SHI,57.46,BUY,30,3530,3680
2019-01-08,HHS,49.66,HOLD,31,2690,2710
2019-01-08,HAG,49.58,HOLD,32,4620,4650
2019-01-08,NAF,49.53,HOLD,33,10260,10320
2019-01-08,SCR,49.43,HOLD,34,6050,6080
2019-01-08,DHG,49.34,HOLD,35,48350,48600
2019-01-08,HT1,49.22,HOLD,36,9990,10040
2019-01-08,TVB,49.17,HOLD,37,9540,9580
2019-01-08,FCM,49.06,HOLD,38,4360,4380
2019-01-08,LMH,49.02,HOLD,39,9120,9150
2019-01-08,CRE,49.01,HOLD,40,6890,6920
2019-01-08,EIB,48.8,HOLD,41,9030,9050
2019-01-08,VPB,48.77,HOLD,42,6110,6130
2019-01-08,DIG,48.69,HOLD,43,6930,6950
2019-01-08,PVI,48.53,HOLD,44,18590,18620
2019-01-08,BSR,48.41,HOLD,45,7390,7400
2019-01-08,ANV,34.86,SELL,46,9480,8920
2019-01-08,APG,34.21,SELL,47,4380,4110
2019-01-08,IVS,33.49,SELL,48,11710,10940
2019-01-08,HBC,33.04,SELL,49,12460,11620
2019-01-08,BCM,32.56,SELL,50,20160,18760
2019-01-08,TLH,32.01,SELL,51,3720,3450
2019-01-08,IDI,31.68,SELL,52,4180,3870
2019-01-08,TGG,31.41,SELL,53,2630,2430
2019-01-08,MST,29.75,SELL,54,3570,3280
2019-01-08,HAR,29.36,SELL,55,4330,3960
2019-01-08,ASM,29.35,SELL,56,3590,3290
2019-01-08,VRC,27.51,SELL,57,16860,15320
2019-01-08,HVH,23.13,SELL,58,11710,10400
2019-01-08,SRA,17.56,SELL,59,8000,6910
2019-01-08,SJF,11.16,SELL,60,6440,5380
2019-01-09,SRC,80.71,BUY,1,10050,11500
2019-01-09,VEF,77.64,BUY,2,53790,60810
2019-01-09,QCG,76.48,BUY,3,4740,5340
2019-01-09,STK,73.12,BUY,4,5620,6250
2019-01-09,PVD,71.48,BUY,5,6070,6700
2019-01-09,KBC,71.25,BUY,6,9690,10680
2019-01-09,VCS,70.57,BUY,7,40060,44030
2019-01-09,HDG,69.09,BUY,8,8140,8900
2019-01-09,VGC,69.01,BUY,9,12090,13210
2019-01-09,PVS,66.82,BUY,10,11230,12160
2019-01-09,ITA,66.3,BUY,11,2970,3200
2019-01-09,DAG,66.28,BUY,12,6030,6520
2019-01-09,L14,66.2,BUY,13,16920,18280
2019-01-09,VCB,65.17,BUY,14,23190,24940
2019-01-09,GAS,65.06,BUY,15,52110,56010
2019-01-09,NT2,64.34,BUY,16,15940,17080
2019-01-09,CEO,64.16,BUY,17,7360,7880
2019-01-09,PHR,63.99,BUY,18,12840,13740
2019-01-09,KMR,63.52,BUY,19,3260,3490
2019-01-09,PPC,63.33,BUY,20,9160,9770
2019-01-09,VEA,62.64,BUY,21,17440,18560
2019-01-09,YEG,62.54,BUY,22,122980,130810
2019-01-09,TNI,61.9,BUY,23,9180,9730
2019-01-09,TV2,61.16,BUY,24,21350,22580
2019-01-09,DAH,60.94,BUY,25,6120,6470
2019-01-09,SHI,60.85,BUY,26,3530,3730
2019-01-09,ACV,60.62,BUY,27,52240,55120
2019-01-09,CTD,60.54,BUY,28,96550,101840
2019-01-09,DST,60.42,BUY,29,2080,2200
2019-01-09,VGT,60.05,BUY,30,8360,8800
2019-01-09,TPB,49.4,HOLD,31,5550,5580
2019-01-09,TLD,49.39,HOLD,32,5730,5760
2019-01-09,SKG,49.35,HOLD,33,10050,10100
2019-01-09,OGC,49.33,HOLD,34,3520,3540
2019-01-09,LPB,49.15,HOLD,35,3000,3010
2019-01-09,SJS,48.72,HOLD,36,6400,6410
2019-01-09,SBT,48.69,HOLD,37,13070,13100
2019-01-09,HHS,48.63,HOLD,38,2670,2680
2019-01-09,GMC,48.35,HOLD,39,17880,17890
2019-01-09,DHG,48.31,HOLD,40,48210,48240
2019-01-09,VSC,48.26,HOLD,41,6910,6920
2019-01-09,DCM,47.94,HOLD,42,5770,5780
2019-01-09,CRE,47.88,HOLD,43,6890,6900
2019-01-09,DGW,47.87,HOLD,44,4190,4200
2019-01-09,SCR,47.67,HOLD,45,6050,6060
2019-01-09,VPH,33.73,SELL,46,2910,2720
2019-01-09,HBC,33.46,SELL,47,12260,11460
2019-01-09,HNG,32.81,SELL,48,14980,13960
2019-01-09,ART,32.45,SELL,49,2380,2210
2019-01-09,VPG,31.16,SELL,50,6530,6030
2019-01-09,NVL,30.85,SELL,51,29700,27420
2019-01-09,VRC,28.46,SELL,52,16760,15300
2019-01-09,HVH,27.41,SELL,53,11680,10600
2019-01-09,IVS,27.1,SELL,54,11610,10520
2019-01-09,HAR,25.97,SELL,55,4270,3850
2019-01-09,TLH,25.68,SELL,56,3720,3350
2019-01-09,FCN,23.88,SELL,57,10020,8940
2019-01-09,VCI,19.73,SELL,58,6580,5750
2019-01-09,SRA,18.69,SELL,59,7210,6270
2019-01-09,SJF,15.03,SELL,60,5990,5110
2019-01-10,SRC,83.31,BUY,1,10740,12570
2019-01-10,VNM,76.16,BUY,2,74760,84910
2019-01-10,PVD,71.24,BUY,3,6180,6860
2019-01-10,MBG,69.99,BUY,4,3550,4050
2019-01-10,NT2,69.17,BUY,5,16380,17870
2019-01-10,KBC,68.85,BUY,6,9540,10510
2019-01-10,VEF,68.22,BUY,7,53300,59470
2019-01-10,QCG,68.18,BUY,8,4690,5580
2019-01-10,TPB,66.49,BUY,9,5780,6320
2019-01-10,PVS,66.46,BUY,10,11510,12660
2019-01-10,VCB,66.37,BUY,11,23660,24800
2019-01-10,HDG,65.93,BUY,12,8260,8970
2019-01-10,HVN,65.83,BUY,13,22260,24480
2019-01-10,ITA,65.83,BUY,14,3010,3180
2019-01-10,VC3,65.68,BUY,15,6950,7260
2019-01-10,SCR,63.93,BUY,16,6130,6340
2019-01-10,LMH,63.82,BUY,17,9160,9570
2019-01-10,APC,63.77,BUY,18,32100,35810
2019-01-10,CTI,63.25,BUY,19,18650,19740
2019-01-10,CTD,62.88,BUY,20,97200,100230
2019-01-10,DVN,62.29,BUY,21,11940,12850
2019-01-10,FTM,62.22,BUY,22,16490,17410
2019-01-10,PPC,62.21,BUY,23,9270,9690
2019-01-10,VCS,61.88,BUY,24,39060,42370
2019-01-10,DAG,61.8,BUY,25,6070,6400
2019-01-10,DIG,61.2,BUY,26,7020,7350
2019-01-10,DAH,60.97,BUY,27,6130,6370
2019-01-10,NTC,60.91,BUY,28,39120,42470
2019-01-10,CEO,60.4,BUY,29,7660,8070
2019-01-10,PHR,60.08,BUY,30,13000,13450
2019-01-10,SHI,50.89,HOLD,31,3460,3490
2019-01-10,DHC,50.34,HOLD,32,9030,9100
2019-01-10,BCM,49.89,HOLD,33,20480,20840
2019-01-10,HHS,49.87,HOLD,34,2700,2710
2019-01-10,VGT,49.83,HOLD,35,8280,8350
2019-01-10,TTB,49.66,HOLD,36,19150,19270
2019-01-10,DHG,49.62,HOLD,37,48650,48980
2019-01-10,PVT,49.61,HOLD,38,7510,7570
2019-01-10,VIC,49.54,HOLD,39,45020,45060
2019-01-10,FMC,49.51,HOLD,40,17260,17280
2019-01-10,VHM,49.27,HOLD,41,25970,25980
2019-01-10,MBB,48.61,HOLD,42,4020,4040
2019-01-10,VPB,48.28,HOLD,43,6100,6110
2019-01-10,PVB,48.16,HOLD,44,13870,13880
2019-01-10,SHS,48.06,HOLD,45,2510,2520
2019-01-10,HBC,35.39,SELL,46,12670,11600
2019-01-10,HPX,34.3,SELL,47,15900,14890
2019-01-10,NVL,33.35,SELL,48,30110,27450
2019-01-10,NVB,33.05,SELL,49,6600,6210
2019-01-10,HAR,32.28,SELL,50,4330,3940
2019-01-10,ART,32.07,SELL,51,2360,2080
2019-01-10,PMG,29.01,SELL,52,14770,13580
2019-01-10,FCN,26.76,SELL,53,10060,8840
2019-01-10,PC1,24.25,SELL,54,7370,6400
2019-01-10,VCI,24.21,SELL,55,6550,5810
2019-01-10,IVS,24.17,SELL,56,11500,9540
2019-01-10,HVH,23.39,SELL,57,11640,9930
2019-01-10,TLH,21.99,SELL,58,3710,3160
2019-01-10,SJF,15.9,SELL,59,5610,5230
2019-01-10,SRA,10.55,SELL,60,6490,5370
2019-01-11,SRC,83.71,BUY,1,10910,12880
2019-01-11,MBG,75.77,BUY,2,3550,4160
2019-01-11,VEF,71.71,BUY,3,52920,59980
2019-01-11,PVD,71.44,BUY,4,6120,6810
2019-01-11,QCG,71.12,BUY,5,4710,5650
2019-01-11,NT2,69.56,BUY,6,16770,18250
2019-01-11,SAM,68.9,BUY,7,5780,6110
2019-01-11,KBC,66.66,BUY,8,9550,10370
2019-01-11,NBB,66.54,BUY,9,18050,19370
2019-01-11,VRE,66.45,BUY,10,27280,30200
2019-01-11,APC,66.23,BUY,11,34290,39020
2019-01-11,NTC,66.18,BUY,12,39690,44080
2019-01-11,PVS,66.01,BUY,13,11250,12370
2019-01-11,CTI,65.33,BUY,14,19130,20400
2019-01-11,PPC,64.92,BUY,15,9310,9800
2019-01-11,DPG,64.73,BUY,16,13550,14780
2019-01-11,VCS,63.78,BUY,17,38990,42500
2019-01-11,VNM,63.59,BUY,18,74700,80050
2019-01-11,PLX,63.57,BUY,19,40660,43190
2019-01-11,EIB,63.22,BUY,20,9420,10010
2019-01-11,SJS,62.64,BUY,21,6770,7410
2019-01-11,VGC,62.55,BUY,22,12000,12590
2019-01-11,DIG,62.28,BUY,23,6990,7330
2019-01-11,GAS,61.64,BUY,24,53910,56980
2019-01-11,CTD,61.41,BUY,25,97200,99880
2019-01-11,PHR,61.34,BUY,26,12920,13440
2019-01-11,ITA,61.17,BUY,27,2990,3120
2019-01-11,VTP,61.11,BUY,28,25840,27230
2019-01-11,AST,60.92,BUY,29,39390,40800
2019-01-11,IDI,60.7,BUY,30,4840,5510
2019-01-11,BWE,50.75,HOLD,31,16700,16770
2019-01-11,BSR,50.74,HOLD,32,7530,7590
2019-01-11,PDR,50.71,HOLD,33,8330,8400
2019-01-11,DVN,50.54,HOLD,34,11800,11950
2019-01-11,MPT,50.47,HOLD,35,4220,4300
2019-01-11,SHB,50.25,HOLD,36,2250,2270
2019-01-11,STB,50.14,HOLD,37,11290,11410
2019-01-11,NLG,50.12,HOLD,38,15110,15180
2019-01-11,TTF,50.05,HOLD,39,3140,3170
2019-01-11,TCM,49.92,HOLD,40,9070,9160
2019-01-11,VHC,49.66,HOLD,41,29380,29490
2019-01-11,SSI,49.54,HOLD,42,6440,6450
2019-01-11,DST,49.49,HOLD,43,1980,1990
2019-01-11,PAN,49.46,HOLD,44,19640,19700
2019-01-11,TCH,48.89,HOLD,45,7400,7410
2019-01-11,VRC,32.51,SELL,46,16910,15480
2019-01-11,NVL,32.36,SELL,47,30330,27570
2019-01-11,HAR,31.54,SELL,48,4390,3980
2019-01-11,ANV,30.99,SELL,49,9360,8230
2019-01-11,NAF,30.54,SELL,50,9830,9030
2019-01-11,ART,28.74,SELL,51,2260,1960
2019-01-11,HVH,28.55,SELL,52,11600,10320
2019-01-11,TLH,27.87,SELL,53,3730,3320
2019-01-11,BCM,27.29,SELL,54,20250,17360
2019-01-11,KMR,26.92,SELL,55,2960,2590
2019-01-11,VCI,25.27,SELL,56,6450,5780
2019-01-11,FCN,22.56,SELL,57,9870,8540
2019-01-11,PC1,20.18,SELL,58,7310,6250
2019-01-11,SRA,18.16,SELL,59,6980,5400
2019-01-11,SJF,15.69,SELL,60,5870,4510
2019-01-14,SRC,80.86,BUY,1,10570,12800
2019-01-14,NT2,76.38,BUY,2,17190,19120
2019-01-14,VEF,75.59,BUY,3,53570,61400
2019-01-14,MBG,74.6,BUY,4,3550,4120
2019-01-14,QCG,73.82,BUY,5,4700,5690
2019-01-14,APC,73.09,BUY,6,34430,40570
2019-01-14,PVB,67.73,BUY,7,14470,15780
2019-01-14,VNM,67.42,BUY,8,76050,82510
2019-01-14,HAG,67.39,BUY,9,5030,5510
2019-01-14,PVD,67.18,BUY,10,6060,6610
2019-01-14,PVS,66.84,BUY,11,11200,12310
2019-01-14,VEA,66.64,BUY,12,19050,20560
2019-01-14,CTI,66.38,BUY,13,19750,21190
2019-01-14,DAG,65.39,BUY,14,6220,6620
2019-01-14,DHG,64.21,BUY,15,51450,55410
2019-01-14,NTC,64.11,BUY,16,39290,43020
2019-01-14,PHR,63.64,BUY,17,13240,13920
2019-01-14,FMC,63.42,BUY,18,18200,19590
2019-01-14,VTP,63.36,BUY,19,26750,28540
2019-01-14,TGG,63.21,BUY,20,3070,3500
2019-01-14,SJS,63.07,BUY,21,7120,7820
2019-01-14,DPG,62.39,BUY,22,14120,15230
2019-01-14,VCS,61.99,BUY,23,38010,41080
2019-01-14,VNG,61.68,BUY,24,20250,20950
2019-01-14,AST,61.66,BUY,25,39170,40690
2019-01-14,CEO,61.65,BUY,26,7480,7930
2019-01-14,KBC,61.42,BUY,27,9620,10180
2019-01-14,PPC,60.87,BUY,28,9460,9830
2019-01-14,ITA,60.53,BUY,29,3000,3120
2019-01-14,FPT,60.16,BUY,30,11930,12340
2019-01-14,STB,50.68,HOLD,31,11300,11440
2019-01-14,DRC,50.56,HOLD,32,11040,11150
2019-01-14,HBC,50.55,HOLD,33,13330,13580
2019-01-14,GEG,50.52,HOLD,34,9310,9370
2019-01-14,VJC,50.51,HOLD,35,88850,89360
2019-01-14,CVT,50.07,HOLD,36,14640,14820
2019-01-14,HSL,49.94,HOLD,37,9360,9410
2019-01-14,HT1,49.81,HOLD,38,10250,10360
2019-01-14,VND,49.64,HOLD,39,2980,3000
2019-01-14,CTD,49.44,HOLD,40,96290,96350
2019-01-14,MPC,49.36,HOLD,41,12560,12620
2019-01-14,ACB,49.33,HOLD,42,5490,5510
2019-01-14,TTB,49.06,HOLD,43,19470,19540
2019-01-14,QNS,49.01,HOLD,44,18990,19030
2019-01-14,SSI,48.87,HOLD,45,6570,6580
2019-01-14,HNG,36.0,SELL,46,14790,14180
2019-01-14,KMR,35.71,SELL,47,3010,2800
2019-01-14,MST,34.89,SELL,48,3550,3260
2019-01-14,NTL,32.22,SELL,49,4900,4370
2019-01-14,LPB,31.96,SELL,50,2970,2800
2019-01-14,FCN,30.44,SELL,51,10470,9190
2019-01-14,HVH,28.35,SELL,52,11640,10380
2019-01-14,TLH,28.19,SELL,53,3730,3340
2019-01-14,C4G,28.09,SELL,54,4700,4320
2019-01-14,ART,25.78,SELL,55,2360,1970
2019-01-14,HAR,25.74,SELL,56,4370,3840
2019-01-14,NKG,23.24,SELL,57,3220,2880
2019-01-14,VCI,19.25,SELL,58,6500,5600
2019-01-14,SJF,16.24,SELL,59,6260,4820
2019-01-14,SRA,12.64,SELL,60,7660,5920
2019-01-15,VGI,78.86,BUY,1,14620,17710
2019-01-15,APC,77.99,BUY,2,35160,42230
2019-01-15,SRC,74.92,BUY,3,9810,11970
2019-01-15,SJS,72.97,BUY,4,7280,8400
2019-01-15,NT2,72.6,BUY,5,17190,18850
2019-01-15,HDG,72.03,BUY,6,8330,9250
2019-01-15,VEF,71.75,BUY,7,53940,60440
2019-01-15,VEA,71.38,BUY,8,19150,20990
2019-01-15,DAG,70.41,BUY,9,6380,6900
2019-01-15,VTP,69.26,BUY,10,27500,30040
2019-01-15,VNM,68.79,BUY,11,76670,83350
2019-01-15,PVS,67.15,BUY,12,11080,12160
2019-01-15,PVB,66.83,BUY,13,14210,15470
2019-01-15,DPG,66.5,BUY,14,13860,15270
2019-01-15,DIG,65.29,BUY,15,7320,7780
2019-01-15,PPC,65.11,BUY,16,9570,10050
2019-01-15,PVD,64.44,BUY,17,5920,6400
2019-01-15,DHG,64.26,BUY,18,52180,56040
2019-01-15,TPB,64.1,BUY,19,6190,6690
2019-01-15,PHR,63.8,BUY,20,13430,14110
2019-01-15,QCG,63.07,BUY,21,4650,5210
2019-01-15,HII,62.31,BUY,22,7370,7690
2019-01-15,TNI,62.23,BUY,23,9250,9530
2019-01-15,VGC,62.12,BUY,24,11940,12480
2019-01-15,HSL,62.08,BUY,25,9950,10690
2019-01-15,FTM,62.06,BUY,26,16700,17560
2019-01-15,DHA,62.03,BUY,27,15480,16130
2019-01-15,NTC,61.59,BUY,28,40590,43750
2019-01-15,SAM,61.54,BUY,29,5820,6040
2019-01-15,CTG,61.54,BUY,30,8400,8960
2019-01-15,DGW,50.49,HOLD,31,4240,4270
2019-01-15,KPF,50.23,HOLD,32,19950,20060
